year,month,PX1,YYYYMM
1978,1,6.03,197801
1978,2,7.82,197802
1978,3,7.04,197803
1978,4,7.2,197804
1978,5,8.0,197805
1978,6,8.2,197806
1978,7,7.45,197807
1978,8,8.74,197808
1978,9,7.64,197809
1978,10,7.43,197810
1978,11,8.12,197811
1978,12,8.24,197812
1979,1,8.91,197901
1979,2,10.03,197902
1979,3,9.85,197903
1979,4,10.09,197904
1979,5,11.66,197905
1979,6,11.78,197906
1979,7,11.47,197907
1979,8,10.78,197908
1979,9,10.01,197909
1979,10,8.85,197910
1979,11,11.32,197911
1979,12,10.59,197912
1980,1,12.66,198001
1980,2,10.47,198002
1980,3,12.01,198003
1980,4,10.56,198004
1980,5,8.22,198005
1980,6,8.58,198006
1980,7,8.24,198007
1980,8,8.08,198008
1980,9,8.4,198009
1980,10,9.45,198010
1980,11,8.11,198011
1980,12,9.92,198012
1981,1,8.12,198101
1981,2,8.47,198102
1981,3,6.69,198103
1981,4,8.14,198104
1981,5,7.49,198105
1981,6,6.69,198106
1981,7,6.23,198107
1981,8,6.58,198108
1981,9,7.11,198109
1981,10,7.07,198110
1981,11,7.1,198111
1981,12,5.59,198112
1982,1,5.43,198201
1982,2,5.35,198202
1982,3,5.55,198203
1982,4,5.0,198204
1982,5,4.7,198205
1982,6,5.74,198206
1982,7,5.86,198207
1982,8,6.02,198208
1982,9,5.09,198209
1982,10,5.46,198210
1982,11,4.89,198211
1982,12,5.13,198212
1983,1,4.81,198301
1983,2,4.26,198302
1983,3,2.81,198303
1983,4,4.15,198304
1983,5,4.44,198305
1983,6,4.27,198306
1983,7,4.42,198307
1983,8,4.83,198308
1983,9,4.79,198309
1983,10,5.44,198310
1983,11,5.04,198311
1983,12,4.79,198312
1984,1,4.41,198401
1984,2,4.95,198402
1984,3,4.64,198403
1984,4,5.7,198404
1984,5,5.29,198405
1984,6,4.59,198406
1984,7,4.41,198407
1984,8,4.49,198408
1984,9,4.0,198409
1984,10,5.02,198410
1984,11,4.87,198411
1984,12,4.66,198412
1985,1,4.05,198501
1985,2,4.34,198502
1985,3,4.13,198503
1985,4,4.87,198504
1985,5,4.3,198505
1985,6,4.62,198506
1985,7,3.7,198507
1985,8,3.46,198508
1985,9,4.03,198509
1985,10,4.65,198510
1985,11,4.34,198511
1985,12,5.17,198512
1986,1,4.01,198601
1986,2,3.44,198602
1986,3,2.67,198603
1986,4,3.04,198604
1986,5,3.35,198605
1986,6,3.72,198606
1986,7,3.35,198607
1986,8,3.97,198608
1986,9,3.29,198609
1986,10,3.6,198610
1986,11,3.73,198611
1986,12,4.0,198612
1987,1,3.89,198701
1987,2,4.11,198702
1987,3,3.73,198703
1987,4,3.57,198704
1987,5,4.36,198705
1987,6,4.13,198706
1987,7,3.93,198707
1987,8,4.35,198708
1987,9,4.2,198709
1987,10,4.13,198710
1987,11,3.92,198711
1987,12,3.5,198712
1988,1,4.11,198801
1988,2,4.51,198802
1988,3,4.11,198803
1988,4,4.23,198804
1988,5,4.7,198805
1988,6,5.03,198806
1988,7,5.38,198807
1988,8,5.38,198808
1988,9,5.36,198809
1988,10,5.07,198810
1988,11,5.3,198811
1988,12,4.95,198812
1989,1,4.9,198901
1989,2,4.61,198902
1989,3,5.08,198903
1989,4,4.93,198904
1989,5,5.7,198905
1989,6,4.91,198906
1989,7,4.79,198907
1989,8,4.33,198908
1989,9,4.56,198909
1989,10,4.51,198910
1989,11,4.76,198911
1989,12,4.27,198912
1990,1,4.92,199001
1990,2,4.92,199002
1990,3,4.67,199003
1990,4,4.42,199004
1990,5,4.37,199005
1990,6,4.59,199006
1990,7,4.49,199007
1990,8,5.62,199008
1990,9,5.69,199009
1990,10,5.91,199010
1990,11,5.3,199011
1990,12,4.71,199012
1991,1,4.64,199101
1991,2,4.15,199102
1991,3,4.07,199103
1991,4,4.25,199104
1991,5,4.33,199105
1991,6,4.06,199106
1991,7,3.69,199107
1991,8,3.83,199108
1991,9,3.46,199109
1991,10,4.08,199110
1991,11,3.88,199111
1991,12,3.17,199112
1992,1,2.79,199201
1992,2,3.0,199202
1992,3,2.83,199203
1992,4,3.35,199204
1992,5,2.74,199205
1992,6,3.64,199206
1992,7,3.62,199207
1992,8,3.71,199208
1992,9,3.58,199209
1992,10,3.36,199210
1992,11,3.85,199211
1992,12,2.99,199212
1993,1,3.17,199301
1993,2,4.17,199302
1993,3,4.87,199303
1993,4,3.6,199304
1993,5,4.09,199305
1993,6,4.6,199306
1993,7,3.97,199307
1993,8,4.42,199308
1993,9,4.25,199309
1993,10,3.75,199310
1993,11,3.47,199311
1993,12,3.34,199312
1994,1,3.27,199401
1994,2,3.48,199402
1994,3,4.07,199403
1994,4,4.26,199404
1994,5,3.67,199405
1994,6,3.63,199406
1994,7,3.95,199407
1994,8,4.41,199408
1994,9,4.65,199409
1994,10,3.69,199410
1994,11,4.4,199411
1994,12,3.71,199412
1995,1,3.66,199501
1995,2,3.83,199502
1995,3,4.17,199503
1995,4,4.11,199504
1995,5,4.3,199505
1995,6,3.67,199506
1995,7,3.74,199507
1995,8,3.57,199508
1995,9,3.76,199509
1995,10,3.5,199510
1995,11,3.41,199511
