start_end_date,const_std_error,x1_std_error,x2_std_error
197801-199712,0.13,0.031,0.048
197802-199801,0.128,0.03,0.047
197803-199802,0.128,0.031,0.048
197804-199803,0.128,0.031,0.048
197805-199804,0.127,0.03,0.048
197806-199805,0.127,0.031,0.048
197807-199806,0.128,0.031,0.049
197808-199807,0.126,0.03,0.048
197809-199808,0.127,0.031,0.049
197810-199809,0.127,0.031,0.049
197811-199810,0.126,0.03,0.049
197812-199811,0.126,0.03,0.049
197901-199812,0.125,0.03,0.049
197902-199901,0.124,0.03,0.048
197903-199902,0.126,0.03,0.049
197904-199903,0.127,0.03,0.049
197905-199904,0.124,0.03,0.049
197906-199905,0.128,0.03,0.05
197907-199906,0.134,0.031,0.053
197908-199907,0.139,0.031,0.055
197909-199908,0.143,0.032,0.056
197910-199909,0.144,0.032,0.057
197911-199910,0.137,0.03,0.054
197912-199911,0.142,0.031,0.055
198001-199912,0.135,0.029,0.052
198002-200001,0.146,0.03,0.056
198003-200002,0.141,0.028,0.054
198004-200003,0.149,0.029,0.056
198005-200004,0.149,0.028,0.056
198006-200005,0.148,0.028,0.056
198007-200006,0.147,0.029,0.056
198008-200007,0.147,0.029,0.056
198009-200008,0.147,0.029,0.055
198010-200009,0.145,0.029,0.055
198011-200010,0.147,0.029,0.055
198012-200011,0.142,0.028,0.053
198101-200012,0.145,0.028,0.053
198102-200101,0.146,0.028,0.053
198103-200102,0.145,0.028,0.052
198104-200103,0.141,0.027,0.051
198105-200104,0.144,0.027,0.051
198106-200105,0.146,0.027,0.052
198107-200106,0.148,0.028,0.052
198108-200107,0.147,0.029,0.052
198109-200108,0.146,0.03,0.052
198110-200109,0.152,0.032,0.054
198111-200110,0.151,0.033,0.053
198112-200111,0.144,0.032,0.05
198201-200112,0.141,0.033,0.05
198202-200201,0.139,0.035,0.05
198203-200202,0.139,0.035,0.05
198204-200203,0.138,0.036,0.05
198205-200204,0.138,0.036,0.05
198206-200205,0.136,0.036,0.05
198207-200206,0.136,0.037,0.05
198208-200207,0.136,0.037,0.05
198209-200208,0.136,0.037,0.05
198210-200209,0.136,0.037,0.05
198211-200210,0.136,0.037,0.05
198212-200211,0.135,0.037,0.05
198301-200212,0.135,0.037,0.05
198302-200301,0.134,0.037,0.05
198303-200302,0.131,0.036,0.048
198304-200303,0.132,0.036,0.049
198305-200304,0.131,0.036,0.049
198306-200305,0.13,0.036,0.049
198307-200306,0.13,0.036,0.049
198308-200307,0.128,0.037,0.048
198309-200308,0.128,0.037,0.049
198310-200309,0.127,0.037,0.049
198311-200310,0.128,0.037,0.05
198312-200311,0.129,0.038,0.051
198401-200312,0.129,0.038,0.051
198402-200401,0.128,0.037,0.051
198403-200402,0.128,0.037,0.051
198404-200403,0.127,0.037,0.05
198405-200404,0.128,0.037,0.051
198406-200405,0.128,0.037,0.051
198407-200406,0.129,0.037,0.051
198408-200407,0.129,0.037,0.051
198409-200408,0.129,0.037,0.051
198410-200409,0.127,0.037,0.05
198411-200410,0.128,0.037,0.05
198412-200411,0.128,0.037,0.05
198501-200412,0.128,0.037,0.05
198502-200501,0.127,0.036,0.05
198503-200502,0.127,0.037,0.05
198504-200503,0.127,0.036,0.05
198505-200504,0.127,0.036,0.05
198506-200505,0.127,0.036,0.05
198507-200506,0.126,0.036,0.05
198508-200507,0.126,0.036,0.05
198509-200508,0.13,0.037,0.051
198510-200509,0.129,0.037,0.051
198511-200510,0.129,0.037,0.051
198512-200511,0.128,0.037,0.051
198601-200512,0.127,0.037,0.051
198602-200601,0.127,0.036,0.05
198603-200602,0.126,0.036,0.05
198604-200603,0.127,0.036,0.05
198605-200604,0.127,0.036,0.05
198606-200605,0.126,0.036,0.05
198607-200606,0.127,0.037,0.05
198608-200607,0.127,0.037,0.05
198609-200608,0.128,0.037,0.051
198610-200609,0.127,0.037,0.051
198611-200610,0.127,0.037,0.051
198612-200611,0.127,0.038,0.051
198701-200612,0.127,0.039,0.052
198702-200701,0.127,0.039,0.052
198703-200702,0.127,0.039,0.053
198704-200703,0.127,0.039,0.053
198705-200704,0.127,0.039,0.053
198706-200705,0.127,0.039,0.053
198707-200706,0.127,0.039,0.052
198708-200707,0.126,0.039,0.052
198709-200708,0.126,0.038,0.052
