start_end_date,const_std_error,const_peak_minima,const_peak_maxima,x1_std_error,x1_peak_minima,x1_peak_maxima,x2_std_error,x2_peak_minima,x2_peak_maxima
197801-199712,0.13,0.21,0.72,0.03,0.04,0.16,0.05,0.71,0.9
197802-199801,0.13,0.21,0.71,0.03,0.04,0.16,0.05,0.71,0.9
197803-199802,0.13,0.2,0.7,0.03,0.04,0.16,0.05,0.72,0.9
197804-199803,0.13,0.2,0.7,0.03,0.04,0.16,0.05,0.71,0.9
197805-199804,0.13,0.23,0.73,0.03,0.05,0.16,0.05,0.7,0.89
197806-199805,0.13,0.24,0.74,0.03,0.05,0.17,0.05,0.7,0.89
197807-199806,0.13,0.23,0.73,0.03,0.05,0.17,0.05,0.7,0.89
197808-199807,0.13,0.25,0.74,0.03,0.05,0.17,0.05,0.69,0.88
197809-199808,0.13,0.23,0.72,0.03,0.05,0.17,0.05,0.7,0.89
197810-199809,0.13,0.22,0.72,0.03,0.05,0.17,0.05,0.7,0.89
197811-199810,0.13,0.23,0.72,0.03,0.05,0.16,0.05,0.7,0.89
197812-199811,0.13,0.24,0.73,0.03,0.05,0.17,0.05,0.7,0.89
197901-199812,0.13,0.25,0.74,0.03,0.05,0.17,0.05,0.69,0.88
197902-199901,0.12,0.29,0.78,0.03,0.05,0.17,0.05,0.68,0.87
197903-199902,0.13,0.3,0.8,0.03,0.06,0.17,0.05,0.67,0.86
197904-199903,0.13,0.33,0.83,0.03,0.06,0.18,0.05,0.66,0.85
197905-199904,0.12,0.42,0.91,0.03,0.07,0.19,0.05,0.63,0.82
197906-199905,0.13,0.49,1.0,0.03,0.09,0.21,0.05,0.59,0.79
197907-199906,0.13,0.56,1.08,0.03,0.1,0.22,0.05,0.56,0.76
197908-199907,0.14,0.59,1.14,0.03,0.11,0.23,0.05,0.54,0.75
197909-199908,0.14,0.6,1.16,0.03,0.11,0.23,0.06,0.53,0.75
197910-199909,0.14,0.57,1.14,0.03,0.11,0.23,0.06,0.53,0.76
197911-199910,0.14,0.63,1.17,0.03,0.1,0.22,0.05,0.53,0.74
197912-199911,0.14,0.66,1.21,0.03,0.11,0.23,0.06,0.52,0.73
198001-199912,0.14,0.82,1.35,0.03,0.12,0.24,0.05,0.47,0.68
198002-200001,0.15,0.75,1.32,0.03,0.12,0.23,0.06,0.49,0.71
198003-200002,0.14,0.89,1.44,0.03,0.12,0.23,0.05,0.45,0.66
198004-200003,0.15,0.87,1.46,0.03,0.12,0.23,0.06,0.45,0.67
198005-200004,0.15,0.76,1.34,0.03,0.12,0.23,0.06,0.48,0.7
198006-200005,0.15,0.76,1.34,0.03,0.12,0.23,0.06,0.48,0.7
198007-200006,0.15,0.75,1.33,0.03,0.12,0.23,0.06,0.48,0.7
198008-200007,0.15,0.74,1.32,0.03,0.12,0.23,0.06,0.48,0.7
198009-200008,0.15,0.75,1.33,0.03,0.11,0.23,0.06,0.49,0.7
198010-200009,0.14,0.79,1.36,0.03,0.11,0.22,0.05,0.49,0.7
198011-200010,0.15,0.74,1.32,0.03,0.11,0.22,0.05,0.5,0.71
198012-200011,0.14,0.78,1.34,0.03,0.09,0.2,0.05,0.51,0.72
198101-200012,0.15,0.71,1.27,0.03,0.09,0.2,0.05,0.53,0.74
198102-200101,0.15,0.72,1.29,0.03,0.08,0.19,0.05,0.53,0.74
198103-200102,0.15,0.63,1.2,0.03,0.08,0.19,0.05,0.55,0.76
198104-200103,0.14,0.66,1.21,0.03,0.07,0.18,0.05,0.56,0.76
198105-200104,0.14,0.65,1.22,0.03,0.07,0.18,0.05,0.56,0.76
198106-200105,0.15,0.62,1.2,0.03,0.07,0.18,0.05,0.56,0.77
198107-200106,0.15,0.6,1.18,0.03,0.07,0.18,0.05,0.56,0.77
198108-200107,0.15,0.6,1.17,0.03,0.07,0.18,0.05,0.57,0.77
198109-200108,0.15,0.6,1.18,0.03,0.06,0.17,0.05,0.58,0.78
198110-200109,0.15,0.54,1.14,0.03,0.05,0.17,0.05,0.59,0.8
198111-200110,0.15,0.44,1.04,0.03,0.03,0.15,0.05,0.63,0.84
198112-200111,0.14,0.42,0.99,0.03,0.05,0.17,0.05,0.63,0.82
198201-200112,0.14,0.41,0.96,0.03,0.05,0.18,0.05,0.63,0.82
198202-200201,0.14,0.41,0.96,0.03,0.05,0.19,0.05,0.62,0.82
198203-200202,0.14,0.43,0.97,0.04,0.05,0.19,0.05,0.62,0.82
198204-200203,0.14,0.42,0.96,0.04,0.05,0.19,0.05,0.62,0.82
