date,y,x1,x2
197801,7.82,6.84,6.03
197802,7.04,6.43,7.82
197803,7.2,6.55,7.04
197804,8.0,6.5,7.2
197805,8.2,6.97,8.0
197806,7.45,7.41,8.2
197807,8.74,7.7,7.45
197808,7.64,7.84,8.74
197809,7.43,8.31,7.64
197810,8.12,8.93,7.43
197811,8.24,8.89,8.12
197812,8.91,9.02,8.24
197901,10.03,9.28,8.91
197902,9.85,9.86,10.03
197903,10.09,10.09,9.85
197904,11.66,10.49,10.09
197905,11.78,10.85,11.66
197906,11.47,10.89,11.78
197907,10.78,11.26,11.47
197908,10.01,11.82,10.78
197909,8.85,12.18,10.01
197910,11.32,12.07,8.85
197911,10.59,12.61,11.32
197912,12.66,13.29,10.59
198001,10.47,13.91,12.66
198002,12.01,14.18,10.47
198003,10.56,14.76,12.01
198004,8.22,14.73,10.56
198005,8.58,14.41,8.22
198006,8.24,14.38,8.58
198007,8.08,13.13,8.24
198008,8.4,12.87,8.08
198009,9.45,12.6,8.4
198010,8.11,12.77,9.45
198011,9.92,12.65,8.11
198012,8.12,12.52,9.92
198101,8.47,11.83,8.12
198102,6.69,11.41,8.47
198103,8.14,10.49,6.69
198104,7.49,10.0,8.14
198105,6.69,9.78,7.49
198106,6.23,9.55,6.69
198107,6.58,10.76,6.23
198108,7.11,10.8,6.58
198109,7.07,10.95,7.11
198110,7.1,10.14,7.07
198111,5.59,9.59,7.1
198112,5.43,8.92,5.59
198201,5.35,8.39,5.43
198202,5.55,7.62,5.35
198203,5.0,6.78,5.55
198204,4.7,6.51,5.0
198205,5.74,6.68,4.7
198206,5.86,7.06,5.74
198207,6.02,6.44,5.86
198208,5.09,5.85,6.02
198209,5.46,5.04,5.09
198210,4.89,5.14,5.46
198211,5.13,4.59,4.89
198212,4.81,3.83,5.13
198301,4.26,3.71,4.81
198302,2.81,3.49,4.26
198303,4.15,3.6,2.81
198304,4.44,3.9,4.15
198305,4.27,3.55,4.44
198306,4.42,2.58,4.27
198307,4.83,2.46,4.42
198308,4.79,2.56,4.83
198309,5.44,2.86,4.79
198310,5.04,2.85,5.44
198311,4.79,3.27,5.04
198312,4.41,3.79,4.79
198401,4.95,4.19,4.41
198402,4.64,4.6,4.95
198403,5.7,4.8,4.64
198404,5.29,4.56,5.7
198405,4.59,4.23,5.29
198406,4.41,4.22,4.59
198407,4.49,4.2,4.41
198408,4.0,4.29,4.49
198409,5.02,4.27,4.0
198410,4.87,4.26,5.02
198411,4.66,4.05,4.87
198412,4.05,3.95,4.66
198501,4.34,3.53,4.05
198502,4.13,3.52,4.34
198503,4.87,3.7,4.13
198504,4.3,3.69,4.87
198505,4.62,3.77,4.3
198506,3.7,3.76,4.62
198507,3.46,3.55,3.7
198508,4.03,3.35,3.46
198509,4.65,3.14,4.03
198510,4.34,3.23,4.65
198511,5.17,3.51,4.34
198512,4.01,3.8,5.17
198601,3.44,3.89,4.01
198602,2.67,3.11,3.44
198603,3.04,2.26,2.67
198604,3.35,1.59,3.04
198605,3.72,1.49,3.35
198606,3.35,1.77,3.72
198607,3.97,1.58,3.35
198608,3.29,1.57,3.97
198609,3.6,1.75,3.29
198610,3.73,1.47,3.6
198611,4.0,1.28,3.73
198612,3.89,1.1,4.0
198701,4.11,1.46,3.89
198702,3.73,2.1,4.11
198703,3.57,3.03,3.73
198704,4.36,3.78,3.57
198705,4.13,3.86,4.36
198706,3.93,3.65,4.13
198707,4.35,3.93,3.93
