year,month,YYYYMM,ExpectedInflation
1977,1,197701,
1978,1,197801,0.06837606837606838
1979,1,197901,0.09279999999999995
1980,1,198001,0.1390922401171303
1981,1,198101,0.1182519280205656
1982,1,198201,0.08390804597701146
1983,1,198301,0.03711558854718982
1984,1,198401,0.041922290388548146
1985,1,198501,0.03532875368007845
1986,1,198601,0.038862559241706104
1987,1,198701,0.01459854014598548
1988,1,198801,0.040467625899280574
1989,1,198901,0.04667242869490053
1990,1,199001,0.052023121387283336
1991,1,199101,0.056514913657770706
1992,1,199201,0.02600297176820208
1993,1,199301,0.03258508327299059
1994,1,199401,0.025245441795231378
1995,1,199501,0.02804377564979496
1996,1,199601,0.027278775781769755
1997,1,199701,0.030440414507771945
1998,1,199801,0.01571338780641106
1999,1,199901,0.016707920792079313
2000,1,200001,0.027388922702373704
2001,1,200101,0.03732227488151649
2002,1,200201,0.011422044545973729
2003,1,200301,0.02597402597402594
2004,1,200401,0.019262520638414972
2005,1,200501,0.029697624190064796
2006,1,200601,0.039853172522286436
2007,1,200701,0.020756429652042285
2008,1,200801,0.0428029404790136
2009,1,200901,0.00029846503695275806
2010,1,201001,0.026257086429576217
2011,1,201101,0.01631846857448763
2012,1,201201,0.029252167121508556
2013,1,201301,0.01594864668122564
2014,1,201401,0.015789473684210506
2015,1,201501,-0.0008934831306965029
2016,1,201601,0.013730868138309949
2017,1,201701,0.025000422090529984
2018,1,201801,0.020705076202751582
2019,1,201901,0.015512351381991144
2020,1,202001,0.02486571955250451
2021,1,202101,0.013997697415600939
2022,1,202201,0.07479872468289114
2023,1,202301,0.06410146968856258
1977,2,197702,
1978,2,197802,0.06429780033840943
1979,2,197902,0.09856915739268673
1980,2,198002,0.14182344428364707
1981,2,198102,0.11406844106463877
1982,2,198202,0.0762229806598406
1983,2,198302,0.03488372093023268
1984,2,198402,0.045965270684371805
1985,2,198502,0.035156249999999944
1986,2,198602,0.031132075471698085
1987,2,198702,0.021043000914913058
1988,2,198802,0.03942652329749109
1989,2,198902,0.04827586206896547
1990,2,199002,0.052631578947368474
1991,2,199102,0.05312500000000009
1992,2,199202,0.028189910979228357
1993,2,199302,0.03246753246753247
1994,2,199402,0.025157232704402475
1995,2,199502,0.028629856850715864
1996,2,199602,0.026507620941020542
1997,2,199702,0.03034215622982562
1998,2,199802,0.014411027568922378
1999,2,199902,0.016059295861642953
2000,2,200002,0.0322188449848025
2001,2,200102,0.03533568904593639
2002,2,200202,0.011376564277588168
2003,2,200302,0.029808773903261993
2004,2,200402,0.016930638995084624
2005,2,200502,0.030075187969924935
2006,2,200602,0.03597497393117819
2007,2,200702,0.024151987921489718
2008,2,200802,0.04026555413048721
2009,2,200902,0.0023619108803786615
2010,2,201002,0.021433317781453683
2011,2,201102,0.021075846286581604
2012,2,201202,0.02871098780438217
2013,2,201302,0.019779235097490525
2014,2,201402,0.011263492501055319
2015,2,201502,-0.0002512980181530767
2016,2,201602,0.010177997801654645
2017,2,201702,0.027379581714893103
2018,2,201802,0.02211795421238657
2019,2,201902,0.015201352659333053
2020,2,202002,0.02334873563945939
2021,2,202102,0.016762152173745014
2022,2,202202,0.07871063897739283
2023,2,202302,0.06035613077866587
1977,3,197703,
1978,3,197803,0.06554621848739493
1979,3,197903,0.10094637223974762
1980,3,198003,0.14756446991404007
1981,3,198103,0.10486891385767798
1982,3,198203,0.06779661016949153
1983,3,198303,0.03597883597883604
1984,3,198403,0.048008171603677104
1985,3,198503,0.03703703703703715
1986,3,198603,0.022556390977443528
1987,3,198703,0.030330882352941152
1988,3,198803,0.039250669045495144
1989,3,198903,0.04978540772532186
1990,3,199003,0.05233033524121007
1991,3,199103,0.04895104895104904
1992,3,199203,0.03185185185185194
1993,3,199303,0.03086862885857848
1994,3,199403,0.025069637883008318
1995,3,199503,0.028532608695652294
1996,3,199603,0.0284015852047555
1997,3,199703,0.02761721258831093
1998,3,199803,0.013749999999999929
1999,3,199903,0.017262638717632624
2000,3,200003,0.037575757575757505
2001,3,200103,0.029205607476635517
2002,3,200203,0.014755959137344057
2003,3,200303,0.030201342281879064
2004,3,200403,0.017372421281216164
2005,3,200503,0.03148345784418359
2006,3,200603,0.03362648732540093
2007,3,200703,0.02778778778778775
2008,3,200803,0.03981456231251698
2009,3,200903,-0.0038355625491738247
2010,3,201003,0.023139594469439455
2011,3,201103,0.02681603264240854
2012,3,201203,0.026513981930217808
2013,3,201303,0.014738962125967777
2014,3,201403,0.015122028757630869
2015,3,201503,-0.000736373908664271
2016,3,201603,0.008525362211427311
2017,3,201703,0.023806124334402694
2018,3,201803,0.023597114039729184
2019,3,201903,0.01862522740569174
2020,3,202003,0.015393269919198161
2021,3,202103,0.02619762508959185
2022,3,202203,0.0854245555484244
2023,3,202303,0.04984974122099168
1977,4,197704,
1978,4,197804,0.06499999999999997
1979,4,197904,0.10485133020344281
1980,4,198004,0.1473087818696885
1981,4,198104,0.09999999999999994
1982,4,198204,0.0650953984287319
1983,4,198304,0.03898840885142243
1984,4,198404,0.04563894523326572
1985,4,198504,0.03685741998060147
1986,4,198604,0.015902712815715515
1987,4,198704,0.03775322283609584
1988,4,198804,0.039041703637976856
1989,4,198904,0.05123825789923143
1990,4,199004,0.047116165718927794
1991,4,199104,0.048875096974398624
1992,4,199204,0.03180473372781074
1993,4,199304,0.03225806451612903
1994,4,199404,0.023611111111111152
1995,4,199504,0.030529172320217096
1996,4,199604,0.028966425279789373
1997,4,199704,0.024952015355086225
1998,4,199804,0.014357053682896451
1999,4,199904,0.022769230769230698
2000,4,200004,0.030685920577617466
2001,4,200104,0.032691185055458226
2002,4,200204,0.016393442622950852
2003,4,200304,0.022246941045606226
2004,4,200404,0.02285092491838949
2005,4,200504,0.03510638297872337
2006,4,200604,0.03545734840698873
2007,4,200704,0.025736972704714676
2008,4,200804,0.039368897748275164
2009,4,200904,-0.007368857152167126
2010,4,201004,0.022364471956480853
2011,4,201104,0.03163630859276461
2012,4,201204,0.023027398112989435
2013,4,201304,0.010630853814894486
2014,4,201404,0.019528578985167556
2015,4,201504,-0.001995174461766945
2016,4,201604,0.01125110418894419
2017,4,201704,0.021996898784172953
2018,4,201804,0.02462743943334802
2019,4,201904,0.019964397755302458
2020,4,202004,0.0032909668633681662
2021,4,202104,0.04159694838702114
2022,4,202204,0.08258629340882372
2023,4,202304,0.049303203981889254
1977,5,197705,
1978,5,197805,0.06965174129353238
1979,5,197905,0.10852713178294573
1980,5,198005,0.14405594405594402
1981,5,198105,0.097799511002445
1982,5,198205,0.066815144766147
1983,5,198305,0.03549060542797501
1984,5,198405,0.04233870967741938
1985,5,198505,0.0377176015473887
1986,5,198605,0.014911463187325336
1987,5,198705,0.038567493112947555
1988,5,198805,0.038903625110521714
1989,5,198905,0.05361702127659572
1990,5,199005,0.0436187399030694
