year,month,YYYYMM,ExpectedInflation
1978,1,197801,6.84
1979,1,197901,9.28
1980,1,198001,13.91
1981,1,198101,11.83
1982,1,198201,8.39
1983,1,198301,3.71
1984,1,198401,4.19
1985,1,198501,3.53
1986,1,198601,3.89
1987,1,198701,1.46
1988,1,198801,4.05
1989,1,198901,4.67
1990,1,199001,5.2
1991,1,199101,5.65
1992,1,199201,2.6
1993,1,199301,3.26
1994,1,199401,2.52
1995,1,199501,2.8
1996,1,199601,2.73
1997,1,199701,3.04
1998,1,199801,1.57
1999,1,199901,1.67
2000,1,200001,2.74
2001,1,200101,3.73
2002,1,200201,1.14
2003,1,200301,2.6
2004,1,200401,1.93
2005,1,200501,2.97
2006,1,200601,3.99
2007,1,200701,2.08
2008,1,200801,4.28
2009,1,200901,0.03
2010,1,201001,2.63
2011,1,201101,1.63
2012,1,201201,2.93
2013,1,201301,1.59
2014,1,201401,1.58
2015,1,201501,-0.09
2016,1,201601,1.37
2017,1,201701,2.5
2018,1,201801,2.07
2019,1,201901,1.55
2020,1,202001,2.49
2021,1,202101,1.4
2022,1,202201,7.48
2023,1,202301,6.41
1978,2,197802,6.43
1979,2,197902,9.86
1980,2,198002,14.18
1981,2,198102,11.41
1982,2,198202,7.62
1983,2,198302,3.49
1984,2,198402,4.6
1985,2,198502,3.52
1986,2,198602,3.11
1987,2,198702,2.1
1988,2,198802,3.94
1989,2,198902,4.83
1990,2,199002,5.26
1991,2,199102,5.31
1992,2,199202,2.82
1993,2,199302,3.25
1994,2,199402,2.52
1995,2,199502,2.86
1996,2,199602,2.65
1997,2,199702,3.03
1998,2,199802,1.44
1999,2,199902,1.61
2000,2,200002,3.22
2001,2,200102,3.53
2002,2,200202,1.14
2003,2,200302,2.98
2004,2,200402,1.69
2005,2,200502,3.01
2006,2,200602,3.6
2007,2,200702,2.42
2008,2,200802,4.03
2009,2,200902,0.24
2010,2,201002,2.14
2011,2,201102,2.11
2012,2,201202,2.87
2013,2,201302,1.98
2014,2,201402,1.13
2015,2,201502,-0.03
2016,2,201602,1.02
2017,2,201702,2.74
2018,2,201802,2.21
2019,2,201902,1.52
2020,2,202002,2.33
2021,2,202102,1.68
2022,2,202202,7.87
2023,2,202302,6.04
1978,3,197803,6.55
1979,3,197903,10.09
1980,3,198003,14.76
1981,3,198103,10.49
1982,3,198203,6.78
1983,3,198303,3.6
1984,3,198403,4.8
1985,3,198503,3.7
1986,3,198603,2.26
1987,3,198703,3.03
1988,3,198803,3.93
1989,3,198903,4.98
1990,3,199003,5.23
1991,3,199103,4.9
1992,3,199203,3.19
1993,3,199303,3.09
1994,3,199403,2.51
1995,3,199503,2.85
1996,3,199603,2.84
1997,3,199703,2.76
1998,3,199803,1.37
1999,3,199903,1.73
2000,3,200003,3.76
2001,3,200103,2.92
2002,3,200203,1.48
2003,3,200303,3.02
2004,3,200403,1.74
2005,3,200503,3.15
2006,3,200603,3.36
2007,3,200703,2.78
2008,3,200803,3.98
2009,3,200903,-0.38
2010,3,201003,2.31
2011,3,201103,2.68
2012,3,201203,2.65
2013,3,201303,1.47
2014,3,201403,1.51
2015,3,201503,-0.07
2016,3,201603,0.85
2017,3,201703,2.38
2018,3,201803,2.36
2019,3,201903,1.86
2020,3,202003,1.54
2021,3,202103,2.62
2022,3,202203,8.54
2023,3,202303,4.98
