YYYYMM,PredictedInflation,ActualInflation
197901,6.03,9.28
198001,8.91,13.91
198101,12.66,11.83
198201,8.12,8.39
198301,5.43,3.71
198401,4.81,4.19
198501,4.41,3.53
198601,4.05,3.89
198701,4.01,1.46
198801,3.89,4.05
198901,4.11,4.67
199001,4.9,5.2
199101,4.92,5.65
199201,4.64,2.6
199301,2.79,3.26
199401,3.17,2.52
199501,3.27,2.8
199601,3.66,2.73
199701,3.74,3.04
199801,4.05,1.57
199901,2.79,1.67
200001,2.73,2.74
200101,3.31,3.73
200201,3.79,1.14
200301,1.89,2.6
200401,2.41,1.93
200501,2.67,2.97
200601,3.3,3.99
200701,3.64,2.08
200801,3.49,4.28
200901,3.97,0.03
201001,2.02,2.63
201101,3.35,1.63
201201,4.28,2.93
201301,4.08,1.59
201401,4.34,1.58
201501,3.84,-0.09
201601,2.65,1.37
201701,3.07,2.5
201801,3.0,2.07
201901,2.96,1.55
202001,2.81,2.49
202101,2.7,1.4
202201,3.65,7.48
202301,6.22,6.41
197902,7.82,9.86
198002,10.03,14.18
198102,10.47,11.41
198202,8.47,7.62
198302,5.35,3.49
198402,4.26,4.6
198502,4.95,3.52
198602,4.34,3.11
198702,3.44,2.1
198802,4.11,3.94
198902,4.51,4.83
199002,4.61,5.26
199102,4.92,5.31
199202,4.15,2.82
199302,3.0,3.25
199402,4.17,2.52
199502,3.48,2.86
199602,3.83,2.65
199702,3.57,3.03
199802,3.58,1.44
199902,2.45,1.61
200002,2.75,3.22
200102,3.39,3.53
200202,3.1,1.14
200302,2.22,2.98
200402,3.14,1.69
200502,2.96,3.01
200602,3.31,3.6
200702,3.63,2.42
200802,3.62,4.03
200902,3.89,0.24
201002,1.49,2.14
201102,3.47,2.11
201202,4.37,2.87
201302,3.89,1.98
201402,4.36,1.13
201502,4.16,-0.03
201602,3.01,1.02
201702,2.79,2.74
201802,3.23,2.21
201902,3.02,1.52
202002,3.0,2.33
202102,2.7,1.68
202202,4.32,7.87
202302,6.13,6.04
197903,7.04,10.09
198003,9.85,14.76
198103,12.01,10.49
198203,6.69,6.78
198303,5.55,3.6
198403,2.81,4.8
198503,4.64,3.7
198603,4.13,2.26
198703,2.67,3.03
198803,3.73,3.93
198903,4.11,4.98
199003,5.08,5.23
199103,4.67,4.9
199203,4.07,3.19
199303,2.83,3.09
199403,4.87,2.51
199503,4.07,2.85
199603,4.17,2.84
199703,3.84,2.76
199803,3.41,1.37
199903,2.71,1.73
200003,2.81,3.76
200103,3.8,2.92
200203,3.12,1.48
200303,2.84,3.02
200403,3.65,1.74
200503,3.41,3.15
200603,3.81,3.36
200703,3.76,2.78
200803,3.58,3.98
200903,4.8,-0.38
201003,1.83,2.31
201103,3.33,2.68
201203,5.15,2.65
201303,4.64,1.47
201403,3.93,1.51
201503,4.06,-0.07
201603,3.43,0.85
201703,3.14,2.38
201803,3.07,2.36
201903,3.21,1.86
202003,2.85,1.54
202103,2.5,2.62
202203,4.3,8.54
202303,7.67,4.98
197904,7.2,10.49
198004,10.09,14.73
198104,10.56,10.0
198204,8.14,6.51
198304,5.0,3.9
198404,4.15,4.56
198504,5.7,3.69
198604,4.87,1.59
198704,3.04,3.78
198804,3.57,3.9
198904,4.23,5.12
199004,4.93,4.71
199104,4.42,4.89
199204,4.25,3.18
199304,3.35,3.23
199404,3.6,2.36
199504,4.26,3.05
199604,4.11,2.9
199704,4.47,2.5
199804,3.52,1.44
199904,2.58,2.28
200004,3.19,3.07
200104,3.47,3.27
200204,3.6,1.64
200304,2.97,2.22
200404,2.66,2.29
200504,3.86,3.51
200604,3.99,3.55
200704,4.37,2.57
200804,3.85,3.94
200904,5.55,-0.74
201004,2.78,2.24
201104,3.79,3.16
201204,5.29,2.3
201304,3.84,1.06
201404,3.96,1.95
201504,4.08,-0.2
201604,3.16,1.13
201704,3.22,2.2
201804,2.85,2.46
201904,3.2,2.0
202004,3.03,0.33
202104,2.23,4.16
202204,4.32,8.26
202304,7.88,4.93
197905,8.0,10.85
198005,11.66,14.41
198105,8.22,9.78
198205,7.49,6.68
198305,4.7,3.55
198405,4.44,4.23
198505,5.29,3.77
