YYYYMM,FPCPITOTLZGUSA,PX1
197801,6.84,6.03
197901,9.28,8.91
198001,13.91,12.66
198101,11.83,8.12
198201,8.39,5.43
198301,3.71,4.81
198401,4.19,4.41
198501,3.53,4.05
198601,3.89,4.01
198701,1.46,3.89
198801,4.05,4.11
198901,4.67,4.9
199001,5.2,4.92
199101,5.65,4.64
199201,2.6,2.79
199301,3.26,3.17
199401,2.52,3.27
199501,2.8,3.66
199601,2.73,3.74
199701,3.04,4.05
199801,1.57,2.79
199901,1.67,2.73
200001,2.74,3.31
200101,3.73,3.79
200201,1.14,1.89
200301,2.6,2.41
200401,1.93,2.67
200501,2.97,3.3
200601,3.99,3.64
200701,2.08,3.49
200801,4.28,3.97
200901,0.03,2.02
201001,2.63,3.35
201101,1.63,4.28
201201,2.93,4.08
201301,1.59,4.34
201401,1.58,3.84
201501,-0.09,2.65
201601,1.37,3.07
201701,2.5,3.0
201801,2.07,2.96
201901,1.55,2.81
202001,2.49,2.7
202101,1.4,3.65
202201,7.48,6.22
202301,6.41,5.57
197802,6.43,7.82
197902,9.86,10.03
198002,14.18,10.47
198102,11.41,8.47
198202,7.62,5.35
198302,3.49,4.26
198402,4.6,4.95
198502,3.52,4.34
198602,3.11,3.44
198702,2.1,4.11
198802,3.94,4.51
198902,4.83,4.61
199002,5.26,4.92
199102,5.31,4.15
199202,2.82,3.0
199302,3.25,4.17
199402,2.52,3.48
199502,2.86,3.83
199602,2.65,3.57
199702,3.03,3.58
199802,1.44,2.45
199902,1.61,2.75
200002,3.22,3.39
200102,3.53,3.1
200202,1.14,2.22
200302,2.98,3.14
200402,1.69,2.96
200502,3.01,3.31
200602,3.6,3.63
200702,2.42,3.62
200802,4.03,3.89
200902,0.24,1.49
201002,2.14,3.47
201102,2.11,4.37
201202,2.87,3.89
201302,1.98,4.36
201402,1.13,4.16
201502,-0.03,3.01
201602,1.02,2.79
201702,2.74,3.23
201802,2.21,3.02
201902,1.52,3.0
202002,2.33,2.7
202102,1.68,4.32
202202,7.87,6.13
202302,6.04,5.51
197803,6.55,7.04
197903,10.09,9.85
198003,14.76,12.01
198103,10.49,6.69
198203,6.78,5.55
198303,3.6,2.81
198403,4.8,4.64
198503,3.7,4.13
198603,2.26,2.67
198703,3.03,3.73
198803,3.93,4.11
198903,4.98,5.08
199003,5.23,4.67
199103,4.9,4.07
199203,3.19,2.83
199303,3.09,4.87
199403,2.51,4.07
199503,2.85,4.17
199603,2.84,3.84
199703,2.76,3.41
199803,1.37,2.71
199903,1.73,2.81
200003,3.76,3.8
200103,2.92,3.12
200203,1.48,2.84
200303,3.02,3.65
200403,1.74,3.41
200503,3.15,3.81
200603,3.36,3.76
200703,2.78,3.58
200803,3.98,4.8
200903,-0.38,1.83
201003,2.31,3.33
201103,2.68,5.15
201203,2.65,4.64
201303,1.47,3.93
201403,1.51,4.06
201503,-0.07,3.43
201603,0.85,3.14
201703,2.38,3.07
201803,2.36,3.21
201903,1.86,2.85
202003,1.54,2.5
202103,2.62,4.3
202203,8.54,7.67
202303,4.98,5.31
197804,6.5,7.2
197904,10.49,10.09
198004,14.73,10.56
198104,10.0,8.14
198204,6.51,5.0
198304,3.9,4.15
198404,4.56,5.7
198504,3.69,4.87
198604,1.59,3.04
198704,3.78,3.57
198804,3.9,4.23
198904,5.12,4.93
199004,4.71,4.42
199104,4.89,4.25
199204,3.18,3.35
199304,3.23,3.6
199404,2.36,4.26
199504,3.05,4.11
199604,2.9,4.47
199704,2.5,3.52
199804,1.44,2.58
199904,2.28,3.19
200004,3.07,3.47
200104,3.27,3.6
200204,1.64,2.97
200304,2.22,2.66
200404,2.29,3.86
200504,3.51,3.99
200604,3.55,4.37
200704,2.57,3.85
200804,3.94,5.55
200904,-0.74,2.78
201004,2.24,3.79
201104,3.16,5.29
201204,2.3,3.84
201304,1.06,3.96
201404,1.95,4.08
201504,-0.2,3.16
201604,1.13,3.22
201704,2.2,2.85
201804,2.46,3.2
201904,2.0,3.03
202004,0.33,2.23
202104,4.16,4.32
202204,8.26,7.88
202304,4.93,5.99
197805,6.97,8.0
197905,10.85,11.66
198005,14.41,8.22
198105,9.78,7.49
198205,6.68,4.7
198305,3.55,4.44
198405,4.23,5.29
198505,3.77,4.3
198605,1.49,3.35
198705,3.86,4.36
198805,3.89,4.7
198905,5.36,5.7
199005,4.36,4.37
199105,4.95,4.33
199205,3.02,2.74
199305,3.22,4.09
199405,2.29,3.67
199505,3.19,4.3
199605,2.89,4.92
199705,2.23,3.83
199805,1.69,3.04
199905,2.09,3.0
200005,3.19,3.29
200105,3.62,3.84
200205,1.18,2.95
200305,2.06,2.56
200405,3.05,3.96
200505,2.8,3.73
200605,4.17,4.6
200705,2.69,4.23
200805,4.18,6.95
200905,-1.28,2.92
201005,2.02,3.87
201105,3.57,4.68
201205,1.7,3.52
201305,1.36,4.06
