YYYYMM,PX1,FPCPITOTLZGUSA
197801,6.03,6.84
197901,8.91,9.28
198001,12.66,13.91
198101,8.12,11.83
198201,5.43,8.39
198301,4.81,3.71
198401,4.41,4.19
198501,4.05,3.53
198601,4.01,3.89
198701,3.89,1.46
198801,4.11,4.05
198901,4.9,4.67
199001,4.92,5.2
199101,4.64,5.65
199201,2.79,2.6
199301,3.17,3.26
199401,3.27,2.52
199501,3.66,2.8
199601,3.74,2.73
199701,4.05,3.04
199801,2.79,1.57
199901,2.73,1.67
200001,3.31,2.74
200101,3.79,3.73
200201,1.89,1.14
200301,2.41,2.6
200401,2.67,1.93
200501,3.3,2.97
200601,3.64,3.99
200701,3.49,2.08
200801,3.97,4.28
200901,2.02,0.03
201001,3.35,2.63
201101,4.28,1.63
201201,4.08,2.93
201301,4.34,1.59
201401,3.84,1.58
201501,2.65,-0.09
201601,3.07,1.37
201701,3.0,2.5
201801,2.96,2.07
201901,2.81,1.55
202001,2.7,2.49
202101,3.65,1.4
202201,6.22,7.48
202301,5.57,6.41
197802,7.82,6.43
197902,10.03,9.86
198002,10.47,14.18
198102,8.47,11.41
198202,5.35,7.62
198302,4.26,3.49
198402,4.95,4.6
198502,4.34,3.52
198602,3.44,3.11
198702,4.11,2.1
198802,4.51,3.94
198902,4.61,4.83
199002,4.92,5.26
199102,4.15,5.31
199202,3.0,2.82
199302,4.17,3.25
199402,3.48,2.52
199502,3.83,2.86
199602,3.57,2.65
199702,3.58,3.03
199802,2.45,1.44
199902,2.75,1.61
200002,3.39,3.22
200102,3.1,3.53
200202,2.22,1.14
200302,3.14,2.98
200402,2.96,1.69
200502,3.31,3.01
200602,3.63,3.6
200702,3.62,2.42
200802,3.89,4.03
200902,1.49,0.24
201002,3.47,2.14
201102,4.37,2.11
201202,3.89,2.87
201302,4.36,1.98
201402,4.16,1.13
201502,3.01,-0.03
201602,2.79,1.02
201702,3.23,2.74
201802,3.02,2.21
201902,3.0,1.52
202002,2.7,2.33
202102,4.32,1.68
202202,6.13,7.87
202302,5.51,6.04
197803,7.04,6.55
197903,9.85,10.09
198003,12.01,14.76
198103,6.69,10.49
198203,5.55,6.78
198303,2.81,3.6
198403,4.64,4.8
198503,4.13,3.7
198603,2.67,2.26
198703,3.73,3.03
198803,4.11,3.93
198903,5.08,4.98
199003,4.67,5.23
199103,4.07,4.9
199203,2.83,3.19
199303,4.87,3.09
199403,4.07,2.51
199503,4.17,2.85
199603,3.84,2.84
199703,3.41,2.76
199803,2.71,1.37
199903,2.81,1.73
200003,3.8,3.76
200103,3.12,2.92
200203,2.84,1.48
200303,3.65,3.02
200403,3.41,1.74
200503,3.81,3.15
200603,3.76,3.36
200703,3.58,2.78
200803,4.8,3.98
200903,1.83,-0.38
201003,3.33,2.31
201103,5.15,2.68
201203,4.64,2.65
201303,3.93,1.47
201403,4.06,1.51
201503,3.43,-0.07
201603,3.14,0.85
201703,3.07,2.38
201803,3.21,2.36
201903,2.85,1.86
202003,2.5,1.54
202103,4.3,2.62
202203,7.67,8.54
202303,5.31,4.98
197804,7.2,6.5
197904,10.09,10.49
198004,10.56,14.73
198104,8.14,10.0
198204,5.0,6.51
198304,4.15,3.9
198404,5.7,4.56
198504,4.87,3.69
198604,3.04,1.59
198704,3.57,3.78
198804,4.23,3.9
198904,4.93,5.12
199004,4.42,4.71
199104,4.25,4.89
199204,3.35,3.18
199304,3.6,3.23
199404,4.26,2.36
199504,4.11,3.05
199604,4.47,2.9
199704,3.52,2.5
199804,2.58,1.44
199904,3.19,2.28
200004,3.47,3.07
200104,3.6,3.27
200204,2.97,1.64
200304,2.66,2.22
200404,3.86,2.29
200504,3.99,3.51
200604,4.37,3.55
200704,3.85,2.57
200804,5.55,3.94
200904,2.78,-0.74
201004,3.79,2.24
201104,5.29,3.16
201204,3.84,2.3
201304,3.96,1.06
201404,4.08,1.95
201504,3.16,-0.2
201604,3.22,1.13
201704,2.85,2.2
201804,3.2,2.46
201904,3.03,2.0
202004,2.23,0.33
202104,4.32,4.16
202204,7.88,8.26
202304,5.99,4.93
197805,8.0,6.97
197905,11.66,10.85
198005,8.22,14.41
198105,7.49,9.78
198205,4.7,6.68
198305,4.44,3.55
198405,5.29,4.23
198505,4.3,3.77
198605,3.35,1.49
198705,4.36,3.86
198805,4.7,3.89
198905,5.7,5.36
199005,4.37,4.36
199105,4.33,4.95
199205,2.74,3.02
199305,4.09,3.22
199405,3.67,2.29
199505,4.3,3.19
199605,4.92,2.89
199705,3.83,2.23
199805,3.04,1.69
199905,3.0,2.09
200005,3.29,3.19
200105,3.84,3.62
200205,2.95,1.18
200305,2.56,2.06
200405,3.96,3.05
200505,3.73,2.8
200605,4.6,4.17
200705,4.23,2.69
200805,6.95,4.18
200905,2.92,-1.28
201005,3.87,2.02
201105,4.68,3.57
201205,3.52,1.7
201305,4.06,1.36
201405,4.25,2.13
201505,3.2,-0.04
201605,2.96,1.02
201705,2.97,1.87
201805,3.2,2.8
201905,3.35,1.79
202005,2.95,0.12
202105,5.59,4.99
202205,7.25,8.58
202305,5.83,4.05
197806,8.2,7.41
197906,11.78,10.89
198006,8.58,14.38
198106,6.69,9.55
198206,5.74,7.06
198306,4.27,2.58
198406,4.59,4.22
198506,4.62,3.76
198606,3.72,1.77
198706,4.13,3.65
198806,5.03,3.96
198906,4.91,5.17
199006,4.59,4.67
199106,4.06,4.7
199206,3.64,3.09
199306,4.6,3.0
199406,3.63,2.49
199506,3.67,3.04
199606,3.97,2.75
199706,3.51,2.3
199806,3.11,1.68
199906,3.0,1.96
200006,3.46,3.73
200106,3.89,3.25
200206,2.84,1.07
200306,2.38,2.11
200406,3.86,3.27
200506,3.94,2.53
200606,4.33,4.32
200706,4.04,2.69
200806,6.45,5.02
200906,3.59,-1.43
201006,3.36,1.05
201106,4.32,3.56
201206,3.51,1.66
201306,3.68,1.75
201406,3.59,2.07
201506,3.37,0.12
201606,2.98,1.0
201706,3.1,1.63
201806,3.49,2.87
201906,3.42,1.65
202006,3.18,0.65
202106,5.93,5.39
202206,8.36,9.06
197807,7.45,7.7
197907,11.47,11.26
198007,8.24,13.13
198107,6.23,10.76
198207,5.86,6.44
198307,4.42,2.46
198407,4.41,4.2
198507,3.7,3.55
198607,3.35,1.58
198707,3.93,3.93
198807,5.38,4.13
198907,4.79,4.98
199007,4.49,4.82
199107,3.69,4.45
199207,3.62,3.16
199307,3.97,2.78
199407,3.95,2.77
199507,3.74,2.76
199607,3.97,2.95
199707,3.16,2.23
199807,2.82,1.68
199907,2.83,2.14
200007,3.62,3.66
200107,2.88,2.72
200207,2.59,1.46
200307,2.17,2.11
200407,3.48,2.99
200507,3.56,3.17
200607,3.78,4.15
200707,4.21,2.36
200807,6.36,5.6
200907,3.42,-2.1
201007,3.16,1.24
201107,4.33,3.63
201207,3.83,1.41
201307,3.96,1.96
201407,3.98,1.99
201507,3.6,0.17
201607,3.1,0.83
201707,2.84,1.73
201807,3.52,2.95
201907,3.14,1.81
202007,3.37,0.99
202107,5.76,5.37
202207,8.17,8.52
197808,8.74,7.84
197908,10.78,11.82
198008,8.08,12.87
198108,6.58,10.8
198208,6.02,5.85
198308,4.83,2.56
198408,4.49,4.29
198508,3.46,3.35
198608,3.97,1.57
198708,4.35,4.28
198808,5.38,4.02
198908,4.33,4.71
199008,5.62,5.62
199108,3.83,3.8
199208,3.71,3.15
199308,4.42,2.77
199408,4.41,2.9
199508,3.57,2.62
199608,4.03,2.88
199708,3.19,2.23
199808,2.65,1.62
199908,3.03,2.26
200008,3.48,3.41
200108,2.98,2.72
200208,2.49,1.8
200308,2.64,2.16
200408,2.96,2.65
200508,3.69,3.64
200608,4.6,3.82
200708,3.97,1.97
200808,5.0,5.37
200908,2.73,-1.48
201008,3.32,1.15
201108,4.33,3.77
201208,4.34,1.69
201308,4.11,1.52
201408,3.88,1.7
201508,3.39,0.2
201608,2.89,1.06
201708,3.01,1.94
201808,3.47,2.7
201908,3.32,1.75
202008,3.39,1.31
202108,6.08,5.25
202208,6.02,8.26
197809,7.64,8.31
197909,10.01,12.18
198009,8.4,12.6
198109,7.11,10.95
198209,5.09,5.04
198309,4.79,2.86
198409,4.0,4.27
198509,4.03,3.14
198609,3.29,1.75
198709,4.2,4.36
198809,5.36,4.17
198909,4.56,4.34
199009,5.69,6.16
199109,3.46,3.39
199209,3.58,2.99
199309,4.25,2.69
199409,4.65,2.96
199509,3.76,2.54
199609,4.2,3.0
199709,3.44,2.15
199809,2.54,1.49
199909,3.24,2.63
200009,3.79,3.45
200109,3.13,2.65
200209,2.88,1.51
200309,3.33,2.32
200409,3.1,2.54
200509,5.31,4.69
200609,3.63,2.06
200709,3.83,2.76
200809,4.47,4.94
200909,2.65,-1.29
201009,2.97,1.14
201109,4.25,3.87
201209,4.28,1.99
201309,4.01,1.18
201409,3.75,1.66
201509,3.08,-0.04
201609,2.92,1.46
201709,3.12,2.23
201809,3.21,2.28
201909,3.31,1.71
202009,3.07,1.37
202109,5.94,5.39
202209,6.03,8.2
197810,7.43,8.93
197910,8.85,12.07
198010,9.45,12.77
198110,7.07,10.14
198210,5.46,5.14
198310,5.44,2.85
198410,5.02,4.26
198510,4.65,3.23
198610,3.6,1.47
198710,4.13,4.53
198810,5.07,4.25
198910,4.51,4.49
199010,5.91,6.29
199110,4.08,2.92
199210,3.36,3.2
199310,3.75,2.75
199410,3.69,2.61
199510,3.5,2.81
199610,4.13,2.99
199710,3.15,2.08
199810,2.54,1.49
199910,3.4,2.56
200010,4.13,3.45
200110,1.43,2.13
200210,2.79,2.03
200310,3.02,2.04
200410,3.49,3.19
200510,5.54,4.35
200610,3.48,1.31
200710,3.58,3.54
200810,4.1,3.66
200910,3.0,-0.18
201010,3.28,1.17
201110,3.98,3.53
201210,4.17,2.16
201310,3.56,0.96
201410,3.36,1.66
201510,3.3,0.17
201610,2.98,1.64
201710,2.92,2.04
201810,3.53,2.52
201910,2.9,1.76
202010,2.82,1.18
202110,6.23,6.22
202210,6.99,7.75
197811,8.12,8.89
197911,11.32,12.61
198011,8.11,12.65
198111,7.1,9.59
198211,4.89,4.59
198311,5.04,3.27
198411,4.87,4.05
198511,4.34,3.51
198611,3.73,1.28
198711,3.92,4.53
198811,5.3,4.25
198911,4.76,4.66
199011,5.3,6.27
199111,3.88,2.99
199211,3.85,3.05
199311,3.47,2.68
199411,4.4,2.67
199511,3.41,2.61
199611,3.8,3.26
199711,3.28,1.83
199811,2.53,1.55
199911,3.01,2.62
200011,3.73,3.45
200111,0.73,1.9
200211,2.47,2.2
200311,3.02,1.77
200411,3.26,3.52
200511,4.27,3.46
200611,3.33,1.97
200711,4.39,4.31
200811,2.72,1.07
200911,2.96,1.84
201011,3.42,1.14
201111,3.94,3.39
201211,3.78,1.76
201311,3.66,1.24
201411,2.97,1.32
201511,3.2,0.5
201611,2.95,1.69
201711,2.9,2.2
201811,3.21,2.18
201911,2.97,2.05
202011,2.96,1.17
202111,6.75,6.81
202211,6.85,7.11
197812,8.24,9.02
197912,10.59,13.29
198012,9.92,12.52
198112,5.59,8.92
198212,5.13,3.83
198312,4.79,3.79
198412,4.66,3.95
198512,5.17,3.8
198612,4.0,1.1
198712,3.5,4.43
198812,4.95,4.42
198912,4.27,4.65
199012,4.71,6.11
199112,3.17,3.06
199212,2.99,2.9
199312,3.34,2.75
199412,3.71,2.67
199512,3.11,2.54
199612,3.74,3.32
199712,3.22,1.7
199812,2.73,1.61
199912,3.45,2.68
200012,3.28,3.39
200112,1.75,1.55
200212,2.41,2.38
200312,2.73,1.88
200412,3.3,3.26
200512,4.01,3.42
200612,3.4,2.54
200712,4.34,4.08
200812,1.15,0.09
200912,2.89,2.72
201012,3.77,1.5
201112,3.59,2.96
201212,3.83,1.74
201312,3.71,1.5
201412,2.95,0.76
201512,2.84,0.73
201612,2.73,2.07
201712,3.01,2.11
201812,3.17,1.91
201912,2.7,2.29
202012,3.1,1.36
202112,6.26,7.04
202212,6.41,6.45
