start_end_date,const_coef,x1_coef,x2_coef,R2,adj_R2,RMSE
197801-199712,0.47,0.1,0.8,0.91,0.9,0.63
197802-199801,0.46,0.1,0.81,0.91,0.91,0.62
197803-199802,0.45,0.1,0.81,0.91,0.91,0.62
197804-199803,0.45,0.1,0.81,0.91,0.91,0.62
197805-199804,0.48,0.11,0.8,0.91,0.91,0.62
197806-199805,0.49,0.11,0.79,0.91,0.91,0.62
197807-199806,0.48,0.11,0.79,0.91,0.91,0.62
197808-199807,0.5,0.11,0.79,0.91,0.91,0.61
197809-199808,0.47,0.11,0.8,0.91,0.91,0.61
197810-199809,0.47,0.11,0.8,0.91,0.91,0.61
197811-199810,0.47,0.11,0.8,0.91,0.91,0.61
197812-199811,0.48,0.11,0.79,0.91,0.91,0.61
197901-199812,0.5,0.11,0.79,0.91,0.91,0.6
197902-199901,0.53,0.11,0.77,0.91,0.91,0.59
197903-199902,0.55,0.12,0.77,0.91,0.91,0.59
197904-199903,0.58,0.12,0.76,0.91,0.91,0.59
197905-199904,0.66,0.13,0.72,0.91,0.91,0.57
197906-199905,0.75,0.15,0.69,0.9,0.9,0.57
197907-199906,0.82,0.16,0.66,0.9,0.9,0.56
197908-199907,0.86,0.17,0.64,0.9,0.89,0.56
197909-199908,0.88,0.17,0.64,0.89,0.89,0.56
197910-199909,0.85,0.17,0.65,0.89,0.89,0.56
197911-199910,0.9,0.16,0.64,0.89,0.89,0.53
197912-199911,0.93,0.17,0.63,0.89,0.89,0.53
198001-199912,1.09,0.18,0.58,0.89,0.89,0.5
198002-200001,1.03,0.17,0.6,0.88,0.88,0.5
198003-200002,1.17,0.18,0.56,0.88,0.88,0.47
198004-200003,1.16,0.18,0.56,0.87,0.87,0.47
198005-200004,1.05,0.17,0.59,0.87,0.87,0.46
198006-200005,1.05,0.17,0.59,0.86,0.86,0.46
198007-200006,1.04,0.18,0.59,0.86,0.86,0.46
198008-200007,1.03,0.18,0.59,0.85,0.85,0.46
198009-200008,1.04,0.17,0.59,0.84,0.84,0.46
198010-200009,1.07,0.16,0.59,0.84,0.83,0.46
198011-200010,1.03,0.16,0.6,0.83,0.83,0.45
198012-200011,1.06,0.14,0.61,0.82,0.82,0.44
198101-200012,0.99,0.14,0.63,0.81,0.81,0.43
198102-200101,1.0,0.14,0.63,0.8,0.8,0.43
198103-200102,0.91,0.14,0.65,0.8,0.8,0.43
198104-200103,0.93,0.12,0.66,0.79,0.79,0.42
198105-200104,0.93,0.12,0.66,0.78,0.78,0.42
198106-200105,0.91,0.12,0.67,0.78,0.77,0.42
198107-200106,0.89,0.13,0.67,0.77,0.76,0.42
198108-200107,0.89,0.12,0.67,0.76,0.76,0.42
198109-200108,0.89,0.11,0.68,0.75,0.75,0.42
198110-200109,0.84,0.11,0.69,0.72,0.72,0.44
198111-200110,0.74,0.09,0.73,0.72,0.71,0.44
198112-200111,0.7,0.11,0.72,0.73,0.73,0.44
