year,month,PX1,YYYYMM
1978,1,6.034798534798535,197801
1978,2,7.815061963775024,197802
1978,3,7.039432176656152,197803
1978,4,7.197860962566845,197804
1978,5,8.002676181980375,197805
1978,6,8.199294532627865,197806
1978,7,7.451612903225806,197807
1978,8,8.743217054263566,197808
1978,9,7.644628099173554,197809
1978,10,7.434640522875817,197810
1978,11,8.11720698254364,197811
1978,12,8.24070796460177,197812
1979,1,8.914600550964188,197901
1979,2,10.032365145228216,197902
1979,3,9.847826086956522,197903
1979,4,10.090225563909774,197904
1979,5,11.659172661870503,197905
1979,6,11.783783783783784,197906
1979,7,11.474903474903474,197907
1979,8,10.776504297994268,197908
1979,9,10.013664596273292,197909
1979,10,8.852697095435685,197910
1979,11,11.321678321678322,197911
1979,12,10.586614173228346,197912
1980,1,12.65542521994135,198001
1980,2,10.468682505399569,198002
1980,3,12.006259780907667,198003
1980,4,10.557098765432098,198004
1980,5,8.223642172523961,198005
1980,6,8.580101180438449,198006
1980,7,8.236427320490368,198007
1980,8,8.081632653061224,198008
1980,9,8.402730375426621,198009
1980,10,9.454394693200664,198010
1980,11,8.10797342192691,198011
1980,12,9.924496644295303,198012
1981,1,8.121555915721231,198101
1981,2,8.466893039049236,198102
1981,3,6.687196110210697,198103
1981,4,8.13888888888889,198104
1981,5,7.490066225165563,198105
1981,6,6.690625,198106
1981,7,6.234662576687117,198107
1981,8,6.578947368421052,198108
1981,9,7.110764430577223,198109
1981,10,7.071535022354695,198110
1981,11,7.098283931357254,198111
1981,12,5.586102719033232,198112
1982,1,5.431164901664145,198201
1982,2,5.35,198202
1982,3,5.548780487804878,198203
1982,4,4.9969558599695585,198204
1982,5,4.695046439628483,198205
1982,6,5.741641337386018,198206
1982,7,5.8562874251497,198207
1982,8,6.015408320493067,198208
1982,9,5.092307692307692,198209
1982,10,5.459119496855346,198210
1982,11,4.887147335423197,198211
1982,12,5.131578947368421,198212
1983,1,4.809302325581395,198301
1983,2,4.2558823529411764,198302
1983,3,2.805135951661631,198303
1983,4,4.147368421052631,198304
1983,5,4.43993993993994,198305
1983,6,4.267153284671533,198306
1983,7,4.421052631578948,198307
1983,8,4.832012678288431,198308
1983,9,4.793674698795181,198309
1983,10,5.442367601246106,198310
1983,11,5.038461538461538,198311
1983,12,4.7933753943217665,198312
1984,1,4.405956112852665,198401
1984,2,4.952012383900929,198402
1984,3,4.644916540212443,198403
1984,4,5.699551569506727,198404
1984,5,5.293129770992366,198405
1984,6,4.587962962962963,198406
1984,7,4.411575562700965,198407
1984,8,4.48776758409786,198408
1984,9,4.001545595054096,198409
1984,10,5.019637462235649,198410
1984,11,4.874811463046757,198411
1984,12,4.662141779788839,198412
1985,1,4.047540983606558,198501
1985,2,4.3428571428571425,198502
1985,3,4.133122028526149,198503
1985,4,4.8713178294573645,198504
1985,5,4.296529968454259,198505
1985,6,4.624405705229794,198506
1985,7,3.701812191103789,198507
1985,8,3.4611727416798734,198508
1985,9,4.031847133757962,198509
1985,10,4.648475120385233,198510
1985,11,4.3392,198511
1985,12,5.174757281553398,198512
1986,1,4.009630818619582,198601
1986,2,3.4394184168012925,198602
1986,3,2.6666666666666665,198603
1986,4,3.0434782608695654,198604
1986,5,3.3523654159869496,198605
1986,6,3.71869918699187,198606
1986,7,3.348314606741573,198607
1986,8,3.9693053311793216,198608
1986,9,3.2857142857142856,198609
1986,10,3.600665557404326,198610
1986,11,3.7323717948717947,198611
1986,12,3.998360655737705,198612
1987,1,3.886326194398682,198701
1987,2,4.109854604200323,198702
1987,3,3.727569331158238,198703
1987,4,3.5657894736842106,198704
1987,5,4.363934426229508,198705
1987,6,4.134206219312603,198706
1987,7,3.933224755700326,198707
1987,8,4.345454545454546,198708
1987,9,4.198675496688741,198709
1987,10,4.130620985010706,198710
1987,11,3.9157894736842107,198711
1987,12,3.49789029535865,198712
1988,1,4.112970711297071,198801
1988,2,4.512931034482759,198802
1988,3,4.1099365750528545,198803
1988,4,4.232704402515723,198804
1988,5,4.697872340425532,198805
1988,6,5.029661016949152,198806
1988,7,5.377398720682303,198807
1988,8,5.381057268722467,198808
1988,9,5.355603448275862,198809
1988,10,5.072805139186295,198810
1988,11,5.3036093418259025,198811
1988,12,4.951271186440678,198812
1989,1,4.895299145299146,198901
1989,2,4.614893617021276,198902
1989,3,5.082278481012659,198903
1989,4,4.928421052631579,198904
1989,5,5.6976744186046515,198905
1989,6,4.906054279749478,198906
1989,7,4.787368421052632,198907
1989,8,4.3283582089552235,198908
1989,9,4.563291139240507,198909
1989,10,4.505353319057816,198910
1989,11,4.761802575107296,198911
1989,12,4.270212765957447,198912
1990,1,4.920086393088553,199001
1990,2,4.919753086419753,199002
1990,3,4.665245202558635,199003
1990,4,4.419624217118998,199004
1990,5,4.3655462184873945,199005
1990,6,4.587866108786611,199006
1990,7,4.485169491525424,199007
1990,8,5.624217118997913,199008
1990,9,5.685534591194968,199009
1990,10,5.912951167728238,199010
1990,11,5.304255319148936,199011
1990,12,4.7092050209205025,199012
1991,1,4.636,199101
1991,2,4.153209109730849,199102
1991,3,4.074844074844075,199103
1991,4,4.245833333333334,199104
1991,5,4.326359832635983,199105
1991,6,4.062893081761007,199106
1991,7,3.685774946921444,199107
1991,8,3.826923076923077,199108
1991,9,3.462025316455696,199109
1991,10,4.082802547770701,199110
1991,11,3.8823529411764706,199111
1991,12,3.1711899791231732,199112
1992,1,2.7920997920997923,199201
1992,2,2.995798319327731,199202
1992,3,2.8263598326359833,199203
1992,4,3.349036402569593,199204
1992,5,2.7353579175704987,199205
1992,6,3.643162393162393,199206
1992,7,3.6224066390041494,199207
1992,8,3.71218487394958,199208
1992,9,3.5770833333333334,199209
