year,month,px1,YYYYMM
1913,01,9.8,191301
1914,01,10.0,191401
1915,01,10.1,191501
1916,01,10.4,191601
1917,01,11.7,191701
1918,01,14.0,191801
1919,01,16.5,191901
1920,01,19.3,192001
1921,01,19.0,192101
1922,01,16.9,192201
1923,01,16.8,192301
1924,01,17.3,192401
1925,01,17.3,192501
1926,01,17.9,192601
1927,01,17.5,192701
1928,01,17.3,192801
1929,01,17.1,192901
1930,01,17.1,193001
1931,01,15.9,193101
1932,01,14.3,193201
1933,01,12.9,193301
1934,01,13.2,193401
1935,01,13.6,193501
1936,01,13.8,193601
1937,01,14.1,193701
1938,01,14.2,193801
1939,01,14.0,193901
1940,01,13.9,194001
1941,01,14.1,194101
1942,01,15.7,194201
1943,01,16.9,194301
1944,01,17.4,194401
1945,01,17.8,194501
1946,01,18.2,194601
1947,01,21.5,194701
1948,01,23.7,194801
1949,01,24.0,194901
1950,01,23.5,195001
1951,01,25.4,195101
1952,01,26.5,195201
1953,01,26.6,195301
1954,01,26.9,195401
1955,01,26.7,195501
1956,01,26.8,195601
1957,01,27.6,195701
1958,01,28.6,195801
1959,01,29.0,195901
1960,01,29.3,196001
1961,01,29.8,196101
1962,01,30.0,196201
1963,01,30.4,196301
1964,01,30.9,196401
1965,01,31.2,196501
1966,01,31.8,196601
1967,01,32.9,196701
1968,01,34.1,196801
1969,01,35.6,196901
1970,01,37.8,197001
1971,01,39.8,197101
1972,01,41.1,197201
1973,01,42.6,197301
1974,01,46.6,197401
1975,01,52.1,197501
1976,01,55.6,197601
1977,01,58.5,197701
1978,01,62.5,197801
1979,01,68.3,197901
1980,01,77.8,198001
1981,01,87.0,198101
1982,01,94.3,198201
1983,01,97.8,198301
1984,01,101.9,198401
1985,01,105.5,198501
1986,01,109.6,198601
1987,01,111.2,198701
1988,01,115.7,198801
1989,01,121.1,198901
1990,01,127.4,199001
1991,01,134.6,199101
1992,01,138.1,199201
1993,01,142.6,199301
1994,01,146.2,199401
1995,01,150.3,199501
1996,01,154.4,199601
1997,01,159.1,199701
1998,01,161.6,199801
1999,01,164.3,199901
2000,01,168.8,200001
2001,01,175.1,200101
2002,01,177.1,200201
2003,01,181.7,200301
2004,01,185.2,200401
2005,01,190.7,200501
2006,01,198.3,200601
2007,01,202.416,200701
2008,01,211.08,200801
2009,01,211.143,200901
2010,01,216.687,201001
2011,01,220.223,201101
2012,01,226.665,201201
2013,01,230.28,201301
2014,01,233.916,201401
2015,01,233.707,201501
2016,01,236.916,201601
2017,01,242.839,201701
2018,01,247.867,201801
2019,01,251.712,201901
2020,01,257.971,202001
2021,01,261.582,202101
2022,01,281.148,202201
2023,01,299.17,202301
1913,02,9.8,191302
1914,02,9.9,191402
1915,02,10.0,191502
1916,02,10.4,191602
1917,02,12.0,191702
1918,02,14.1,191802
1919,02,16.2,191902
1920,02,19.5,192002
1921,02,18.4,192102
1922,02,16.9,192202
1923,02,16.8,192302
1924,02,17.2,192402
1925,02,17.2,192502
1926,02,17.9,192602
1927,02,17.4,192702
1928,02,17.1,192802
1929,02,17.1,192902
1930,02,17.0,193002
1931,02,15.7,193102
1932,02,14.1,193202
1933,02,12.7,193302
