year,month,CPI,YYYYMM
1977,01,58.5,197701
1978,01,62.5,197801
1979,01,68.3,197901
1980,01,77.8,198001
1981,01,87.0,198101
1982,01,94.3,198201
1983,01,97.8,198301
1984,01,101.9,198401
1985,01,105.5,198501
1986,01,109.6,198601
1987,01,111.2,198701
1988,01,115.7,198801
1989,01,121.1,198901
1990,01,127.4,199001
1991,01,134.6,199101
1992,01,138.1,199201
1993,01,142.6,199301
1994,01,146.2,199401
1995,01,150.3,199501
1996,01,154.4,199601
1997,01,159.1,199701
1998,01,161.6,199801
1999,01,164.3,199901
2000,01,168.8,200001
2001,01,175.1,200101
2002,01,177.1,200201
2003,01,181.7,200301
2004,01,185.2,200401
2005,01,190.7,200501
2006,01,198.3,200601
2007,01,202.416,200701
2008,01,211.08,200801
2009,01,211.143,200901
2010,01,216.687,201001
2011,01,220.223,201101
2012,01,226.665,201201
2013,01,230.28,201301
2014,01,233.916,201401
2015,01,233.707,201501
2016,01,236.916,201601
2017,01,242.839,201701
2018,01,247.867,201801
2019,01,251.712,201901
2020,01,257.971,202001
2021,01,261.582,202101
2022,01,281.148,202201
2023,01,299.17,202301
1977,02,59.1,197702
1978,02,62.9,197802
1979,02,69.1,197902
1980,02,78.9,198002
1981,02,87.9,198102
1982,02,94.6,198202
1983,02,97.9,198302
1984,02,102.4,198402
1985,02,106.0,198502
1986,02,109.3,198602
1987,02,111.6,198702
1988,02,116.0,198802
1989,02,121.6,198902
1990,02,128.0,199002
1991,02,134.8,199102
1992,02,138.6,199202
1993,02,143.1,199302
1994,02,146.7,199402
1995,02,150.9,199502
1996,02,154.9,199602
1997,02,159.6,199702
1998,02,161.9,199802
1999,02,164.5,199902
2000,02,169.8,200002
2001,02,175.8,200102
2002,02,177.8,200202
2003,02,183.1,200302
2004,02,186.2,200402
2005,02,191.8,200502
2006,02,198.7,200602
2007,02,203.499,200702
2008,02,211.693,200802
2009,02,212.193,200902
2010,02,216.741,201002
2011,02,221.309,201102
2012,02,227.663,201202
2013,02,232.166,201302
2014,02,234.781,201402
2015,02,234.722,201502
2016,02,237.111,201602
2017,02,243.603,201702
2018,02,248.991,201802
2019,02,252.776,201902
2020,02,258.678,202002
2021,02,263.014,202102
2022,02,283.716,202202
2023,02,300.84,202302
1977,03,59.5,197703
1978,03,63.4,197803
1979,03,69.8,197903
1980,03,80.1,198003
1981,03,88.5,198103
1982,03,94.5,198203
1983,03,97.9,198303
1984,03,102.6,198403
1985,03,106.4,198503
1986,03,108.8,198603
1987,03,112.1,198703
1988,03,116.5,198803
1989,03,122.3,198903
1990,03,128.7,199003
1991,03,135.0,199103
1992,03,139.3,199203
1993,03,143.6,199303
1994,03,147.2,199403
1995,03,151.4,199503
1996,03,155.7,199603
1997,03,160.0,199703
1998,03,162.2,199803
1999,03,165.0,199903
2000,03,171.2,200003
2001,03,176.2,200103
2002,03,178.8,200203
2003,03,184.2,200303
2004,03,187.4,200403
2005,03,193.3,200503
2006,03,199.8,200603
2007,03,205.352,200703
2008,03,213.528,200803
2009,03,212.709,200903
2010,03,217.631,201003
2011,03,223.467,201103
2012,03,229.392,201203
2013,03,232.773,201303
2014,03,236.293,201403
2015,03,236.119,201503
2016,03,238.132,201603
2017,03,243.801,201703
2018,03,249.554,201803
2019,03,254.202,201903
2020,03,258.115,202003
2021,03,264.877,202103
2022,03,287.504,202203
2023,03,301.836,202303
1977,04,60.0,197704
1978,04,63.9,197804
1979,04,70.6,197904
1980,04,81.0,198004
1981,04,89.1,198104
1982,04,94.9,198204
1983,04,98.6,198304
1984,04,103.1,198404
1985,04,106.9,198504
1986,04,108.6,198604
1987,04,112.7,198704
1988,04,117.1,198804
1989,04,123.1,198904
1990,04,128.9,199004
1991,04,135.2,199104
1992,04,139.5,199204
1993,04,144.0,199304
1994,04,147.4,199404
1995,04,151.9,199504
1996,04,156.3,199604
1997,04,160.2,199704
1998,04,162.5,199804
1999,04,166.2,199904
2000,04,171.3,200004
2001,04,176.9,200104
2002,04,179.8,200204
2003,04,183.8,200304
2004,04,188.0,200404
2005,04,194.6,200504
2006,04,201.5,200604
2007,04,206.686,200704
2008,04,214.823,200804
2009,04,213.24,200904
2010,04,218.009,201004
2011,04,224.906,201104
2012,04,230.085,201204
2013,04,232.531,201304
2014,04,237.072,201404
2015,04,236.599,201504
2016,04,239.261,201604
2017,04,244.524,201704
2018,04,250.546,201804
2019,04,255.548,201904
2020,04,256.389,202004
2021,04,267.054,202104
2022,04,289.109,202204
2023,04,303.363,202304
1977,05,60.3,197705
1978,05,64.5,197805
1979,05,71.5,197905
1980,05,81.8,198005
1981,05,89.8,198105
1982,05,95.8,198205
1983,05,99.2,198305
1984,05,103.4,198405
1985,05,107.3,198505
1986,05,108.9,198605
1987,05,113.1,198705
1988,05,117.5,198805
1989,05,123.8,198905
1990,05,129.2,199005
1991,05,135.6,199105
1992,05,139.7,199205
1993,05,144.2,199305
1994,05,147.5,199405
1995,05,152.2,199505
1996,05,156.6,199605
1997,05,160.1,199705
1998,05,162.8,199805
1999,05,166.2,199905
2000,05,171.5,200005
2001,05,177.7,200105
2002,05,179.8,200205
2003,05,183.5,200305
2004,05,189.1,200405
2005,05,194.4,200505
2006,05,202.5,200605
2007,05,207.949,200705
2008,05,216.632,200805
2009,05,213.856,200905
2010,05,218.178,201005
2011,05,225.964,201105
2012,05,229.815,201205
2013,05,232.945,201305
2014,05,237.9,201405
2015,05,237.805,201505
2016,05,240.229,201605
2017,05,244.733,201705
2018,05,251.588,201805
2019,05,256.092,201905
2020,05,256.394,202005
2021,05,269.195,202105
2022,05,292.296,202205
2023,05,304.127,202305
1977,06,60.7,197706
1978,06,65.2,197806
1979,06,72.3,197906
1980,06,82.7,198006
1981,06,90.6,198106
1982,06,97.0,198206
1983,06,99.5,198306
1984,06,103.7,198406
1985,06,107.6,198506
1986,06,109.5,198606
1987,06,113.5,198706
1988,06,118.0,198806
1989,06,124.1,198906
1990,06,129.9,199006
1991,06,136.0,199106
1992,06,140.2,199206
1993,06,144.4,199306
1994,06,148.0,199406
1995,06,152.5,199506
1996,06,156.7,199606
1997,06,160.3,199706
1998,06,163.0,199806
1999,06,166.2,199906
2000,06,172.4,200006
2001,06,178.0,200106
2002,06,179.9,200206
2003,06,183.7,200306
2004,06,189.7,200406
2005,06,194.5,200506
2006,06,202.9,200606
2007,06,208.352,200706
2008,06,218.815,200806
2009,06,215.693,200906
2010,06,217.965,201006
2011,06,225.722,201106
2012,06,229.478,201206
2013,06,233.504,201306
2014,06,238.343,201406
2015,06,238.638,201506
2016,06,241.018,201606
2017,06,244.955,201706
2018,06,251.989,201806
2019,06,256.143,201906
2020,06,257.797,202006
2021,06,271.696,202106
2022,06,296.311,202206
1977,07,61.0,197707
1978,07,65.7,197807
1979,07,73.1,197907
1980,07,82.7,198007
1981,07,91.6,198107
1982,07,97.5,198207
1983,07,99.9,198307
1984,07,104.1,198407
1985,07,107.8,198507
1986,07,109.5,198607
1987,07,113.8,198707
1988,07,118.5,198807
1989,07,124.4,198907
1990,07,130.4,199007
1991,07,136.2,199107
1992,07,140.5,199207
1993,07,144.4,199307
1994,07,148.4,199407
1995,07,152.5,199507
1996,07,157.0,199607
1997,07,160.5,199707
1998,07,163.2,199807
1999,07,166.7,199907
2000,07,172.8,200007
2001,07,177.5,200107
2002,07,180.1,200207
2003,07,183.9,200307
2004,07,189.4,200407
2005,07,195.4,200507
2006,07,203.5,200607
2007,07,208.299,200707
2008,07,219.964,200807
2009,07,215.351,200907
2010,07,218.011,201007
2011,07,225.922,201107
2012,07,229.104,201207
2013,07,233.596,201307
2014,07,238.25,201407
2015,07,238.654,201507
2016,07,240.628,201607
2017,07,244.786,201707
2018,07,252.006,201807
2019,07,256.571,201907
2020,07,259.101,202007
2021,07,273.003,202107
2022,07,296.276,202207
1977,08,61.2,197708
1978,08,66.0,197808
1979,08,73.8,197908
1980,08,83.3,198008
1981,08,92.3,198108
1982,08,97.7,198208
1983,08,100.2,198308
1984,08,104.5,198408
1985,08,108.0,198508
1986,08,109.7,198608
1987,08,114.4,198708
1988,08,119.0,198808
1989,08,124.6,198908
1990,08,131.6,199008
1991,08,136.6,199108
1992,08,140.9,199208
1993,08,144.8,199308
1994,08,149.0,199408
1995,08,152.9,199508
1996,08,157.3,199608
1997,08,160.8,199708
1998,08,163.4,199808
1999,08,167.1,199908
2000,08,172.8,200008
2001,08,177.5,200108
2002,08,180.7,200208
2003,08,184.6,200308
2004,08,189.5,200408
2005,08,196.4,200508
2006,08,203.9,200608
2007,08,207.917,200708
2008,08,219.086,200808
2009,08,215.834,200908
2010,08,218.312,201008
2011,08,226.545,201108
2012,08,230.379,201208
2013,08,233.877,201308
2014,08,237.852,201408
2015,08,238.316,201508
2016,08,240.849,201608
2017,08,245.519,201708
2018,08,252.146,201808
2019,08,256.558,201908
2020,08,259.918,202008
2021,08,273.567,202108
2022,08,296.171,202208
1977,09,61.4,197709
1978,09,66.5,197809
1979,09,74.6,197909
1980,09,84.0,198009
1981,09,93.2,198109
1982,09,97.9,198209
1983,09,100.7,198309
1984,09,105.0,198409
1985,09,108.3,198509
1986,09,110.2,198609
