Year,PredictedInflation,ActualInflation
1979,8.91,9.28
1980,12.66,13.91
1981,8.12,11.83
1982,5.43,8.39
1983,4.81,3.71
1984,4.41,4.19
1985,4.05,3.53
1986,4.01,3.89
1987,3.89,1.46
1988,4.11,4.05
1989,4.9,4.67
1990,4.92,5.2
1991,4.64,5.65
1992,2.79,2.6
1993,3.17,3.26
1994,3.27,2.52
1995,3.66,2.8
1996,3.74,2.73
1997,4.05,3.04
1998,2.79,1.57
1999,2.73,1.67
2000,3.31,2.74
2001,3.79,3.73
2002,1.89,1.14
2003,2.41,2.6
2004,2.67,1.93
2005,3.3,2.97
2006,3.64,3.99
2007,3.49,2.08
2008,3.97,4.28
2009,2.02,0.03
2010,3.35,2.63
2011,4.28,1.63
2012,4.08,2.93
2013,4.34,1.59
2014,3.84,1.58
2015,2.65,-0.09
2016,3.07,1.37
2017,3.0,2.5
2018,2.96,2.07
2019,2.81,1.55
2020,2.7,2.49
2021,3.65,1.4
2022,6.22,7.48
2023,5.57,6.41
1978,7.82,6.43
1979,10.03,9.86
1980,10.47,14.18
1981,8.47,11.41
1982,5.35,7.62
1983,4.26,3.49
1984,4.95,4.6
1985,4.34,3.52
1986,3.44,3.11
1987,4.11,2.1
1988,4.51,3.94
1989,4.61,4.83
1990,4.92,5.26
1991,4.15,5.31
1992,3.0,2.82
1993,4.17,3.25
1994,3.48,2.52
1995,3.83,2.86
1996,3.57,2.65
1997,3.58,3.03
1998,2.45,1.44
1999,2.75,1.61
2000,3.39,3.22
2001,3.1,3.53
2002,2.22,1.14
2003,3.14,2.98
2004,2.96,1.69
2005,3.31,3.01
2006,3.63,3.6
2007,3.62,2.42
2008,3.89,4.03
2009,1.49,0.24
2010,3.47,2.14
2011,4.37,2.11
2012,3.89,2.87
2013,4.36,1.98
2014,4.16,1.13
2015,3.01,-0.03
2016,2.79,1.02
2017,3.23,2.74
2018,3.02,2.21
2019,3.0,1.52
2020,2.7,2.33
2021,4.32,1.68
2022,6.13,7.87
2023,5.51,6.04
1978,7.04,6.55
1979,9.85,10.09
1980,12.01,14.76
1981,6.69,10.49
1982,5.55,6.78
1983,2.81,3.6
1984,4.64,4.8
1985,4.13,3.7
1986,2.67,2.26
1987,3.73,3.03
1988,4.11,3.93
1989,5.08,4.98
1990,4.67,5.23
1991,4.07,4.9
1992,2.83,3.19
1993,4.87,3.09
1994,4.07,2.51
1995,4.17,2.85
1996,3.84,2.84
1997,3.41,2.76
1998,2.71,1.37
1999,2.81,1.73
2000,3.8,3.76
2001,3.12,2.92
2002,2.84,1.48
2003,3.65,3.02
2004,3.41,1.74
2005,3.81,3.15
2006,3.76,3.36
2007,3.58,2.78
2008,4.8,3.98
2009,1.83,-0.38
2010,3.33,2.31
2011,5.15,2.68
2012,4.64,2.65
2013,3.93,1.47
2014,4.06,1.51
2015,3.43,-0.07
2016,3.14,0.85
2017,3.07,2.38
2018,3.21,2.36
2019,2.85,1.86
2020,2.5,1.54
2021,4.3,2.62
2022,7.67,8.54
