Year,PredictedInflation,ActualInflation
1979,12.66,9.28
1980,8.12,13.91
1981,5.43,11.83
1982,4.81,8.39
1983,4.41,3.71
1984,4.05,4.19
1985,4.01,3.53
1986,3.89,3.89
1987,4.11,1.46
1988,4.9,4.05
1989,4.92,4.67
1990,4.64,5.2
1991,2.79,5.65
1992,3.17,2.6
1993,3.27,3.26
1994,3.66,2.52
1995,3.74,2.8
1996,4.05,2.73
1997,2.79,3.04
1998,2.73,1.57
1999,3.31,1.67
2000,3.79,2.74
2001,1.89,3.73
2002,2.41,1.14
2003,2.67,2.6
2004,3.3,1.93
2005,3.64,2.97
2006,3.49,3.99
2007,3.97,2.08
2008,2.02,4.28
2009,3.35,0.03
2010,4.28,2.63
2011,4.08,1.63
2012,4.34,2.93
2013,3.84,1.59
2014,2.65,1.58
2015,3.07,-0.09
2016,3.0,1.37
2017,2.96,2.5
2018,2.81,2.07
2019,2.7,1.55
2020,3.65,2.49
2021,6.22,1.4
2022,5.57,7.48
1979,10.47,9.86
1980,8.47,14.18
1981,5.35,11.41
1982,4.26,7.62
1983,4.95,3.49
1984,4.34,4.6
1985,3.44,3.52
1986,4.11,3.11
1987,4.51,2.1
1988,4.61,3.94
1989,4.92,4.83
1990,4.15,5.26
1991,3.0,5.31
1992,4.17,2.82
1993,3.48,3.25
1994,3.83,2.52
1995,3.57,2.86
1996,3.58,2.65
1997,2.45,3.03
1998,2.75,1.44
1999,3.39,1.61
2000,3.1,3.22
2001,2.22,3.53
2002,3.14,1.14
2003,2.96,2.98
2004,3.31,1.69
2005,3.63,3.01
2006,3.62,3.6
2007,3.89,2.42
2008,1.49,4.03
2009,3.47,0.24
2010,4.37,2.14
2011,3.89,2.11
2012,4.36,2.87
2013,4.16,1.98
2014,3.01,1.13
2015,2.79,-0.03
2016,3.23,1.02
2017,3.02,2.74
2018,3.0,2.21
2019,2.7,1.52
2020,4.32,2.33
2021,6.13,1.68
2022,5.51,7.87
1979,12.01,10.09
1980,6.69,14.76
1981,5.55,10.49
1982,2.81,6.78
1983,4.64,3.6
1984,4.13,4.8
1985,2.67,3.7
1986,3.73,2.26
1987,4.11,3.03
1988,5.08,3.93
1989,4.67,4.98
1990,4.07,5.23
1991,2.83,4.9
1992,4.87,3.19
1993,4.07,3.09
1994,4.17,2.51
1995,3.84,2.85
1996,3.41,2.84
1997,2.71,2.76
1998,2.81,1.37
1999,3.8,1.73
2000,3.12,3.76
2001,2.84,2.92
2002,3.65,1.48
2003,3.41,3.02
2004,3.81,1.74
2005,3.76,3.15
2006,3.58,3.36
2007,4.8,2.78
2008,1.83,3.98
2009,3.33,-0.38
2010,5.15,2.31
2011,4.64,2.68
2012,3.93,2.65
2013,4.06,1.47
2014,3.43,1.51
2015,3.14,-0.07
2016,3.07,0.85
2017,3.21,2.38
2018,2.85,2.36
2019,2.5,1.86
2020,4.3,1.54
2021,7.67,2.62
2022,5.31,8.54
1979,10.56,10.49
1980,8.14,14.73
1981,5.0,10.0
1982,4.15,6.51
1983,5.7,3.9
1984,4.87,4.56
1985,3.04,3.69
1986,3.57,1.59
1987,4.23,3.78
1988,4.93,3.9
1989,4.42,5.12
1990,4.25,4.71
1991,3.35,4.89
1992,3.6,3.18
1993,4.26,3.23
1994,4.11,2.36
1995,4.47,3.05
1996,3.52,2.9
1997,2.58,2.5
1998,3.19,1.44
1999,3.47,2.28
2000,3.6,3.07
2001,2.97,3.27
2002,2.66,1.64
2003,3.86,2.22
2004,3.99,2.29
2005,4.37,3.51
2006,3.85,3.55
2007,5.55,2.57
2008,2.78,3.94
2009,3.79,-0.74
2010,5.29,2.24
2011,3.84,3.16
2012,3.96,2.3
2013,4.08,1.06
2014,3.16,1.95
2015,3.22,-0.2
2016,2.85,1.13
2017,3.2,2.2
2018,3.03,2.46
2019,2.23,2.0
2020,4.32,0.33
2021,7.88,4.16
2022,5.99,8.26
1979,8.22,10.85
1980,7.49,14.41
1981,4.7,9.78
1982,4.44,6.68
1983,5.29,3.55
1984,4.3,4.23
1985,3.35,3.77
1986,4.36,1.49
1987,4.7,3.86
1988,5.7,3.89
1989,4.37,5.36
1990,4.33,4.36
1991,2.74,4.95
1992,4.09,3.02
1993,3.67,3.22
1994,4.3,2.29
1995,4.92,3.19
1996,3.83,2.89
1997,3.04,2.23
1998,3.0,1.69
1999,3.29,2.09
2000,3.84,3.19
2001,2.95,3.62
2002,2.56,1.18
2003,3.96,2.06
2004,3.73,3.05
2005,4.6,2.8
2006,4.23,4.17
2007,6.95,2.69
2008,2.92,4.18
2009,3.87,-1.28
2010,4.68,2.02
2011,3.52,3.57
2012,4.06,1.7
2013,4.25,1.36
2014,3.2,2.13
2015,2.96,-0.04
2016,2.97,1.02
2017,3.2,1.87
2018,3.35,2.8
2019,2.95,1.79
2020,5.59,0.12
2021,7.25,4.99
2022,5.83,8.58
1979,8.58,10.89
1980,6.69,14.38
1981,5.74,9.55
1982,4.27,7.06
1983,4.59,2.58
1984,4.62,4.22
1985,3.72,3.76
1986,4.13,1.77
1987,5.03,3.65
1988,4.91,3.96
1989,4.59,5.17
1990,4.06,4.67
1991,3.64,4.7
1992,4.6,3.09
1993,3.63,3.0
1994,3.67,2.49
1995,3.97,3.04
1996,3.51,2.75
1997,3.11,2.3
1998,3.0,1.68
1999,3.46,1.96
2000,3.89,3.73
2001,2.84,3.25
2002,2.38,1.07
2003,3.86,2.11
2004,3.94,3.27
2005,4.33,2.53
2006,4.04,4.32
2007,6.45,2.69
2008,3.59,5.02
2009,3.36,-1.43
2010,4.32,1.05
2011,3.51,3.56
2012,3.68,1.66
2013,3.59,1.75
2014,3.37,2.07
2015,2.98,0.12
2016,3.1,1.0
2017,3.49,1.63
2018,3.42,2.87
2019,3.18,1.65
2020,5.93,0.65
2021,8.36,5.39
2022,7.45,9.06
1979,8.24,11.26
1980,6.23,13.13
1981,5.86,10.76
1982,4.42,6.44
1983,4.41,2.46
1984,3.7,4.2
1985,3.35,3.55
1986,3.93,1.58
1987,5.38,3.93
1988,4.79,4.13
1989,4.49,4.98
1990,3.69,4.82
1991,3.62,4.45
1992,3.97,3.16
1993,3.95,2.78
1994,3.74,2.77
1995,3.97,2.76
1996,3.16,2.95
1997,2.82,2.23
1998,2.83,1.68
1999,3.62,2.14
2000,2.88,3.66
2001,2.59,2.72
2002,2.17,1.46
2003,3.48,2.11
2004,3.56,2.99
2005,3.78,3.17
2006,4.21,4.15
2007,6.36,2.36
2008,3.42,5.6
2009,3.16,-2.1
2010,4.33,1.24
2011,3.83,3.63
2012,3.96,1.41
2013,3.98,1.96
2014,3.6,1.99
2015,3.1,0.17
2016,2.84,0.83
2017,3.52,1.73
2018,3.14,2.95
2019,3.37,1.81
2020,5.76,0.99
2021,8.17,5.37
2022,8.74,8.52
1979,8.08,11.82
1980,6.58,12.87
1981,6.02,10.8
1982,4.83,5.85
1983,4.49,2.56
1984,3.46,4.29
1985,3.97,3.35
1986,4.35,1.57
1987,5.38,4.28
1988,4.33,4.02
1989,5.62,4.71
1990,3.83,5.62
1991,3.71,3.8
1992,4.42,3.15
1993,4.41,2.77
1994,3.57,2.9
1995,4.03,2.62
1996,3.19,2.88
1997,2.65,2.23
1998,3.03,1.62
1999,3.48,2.26
2000,2.98,3.41
2001,2.49,2.72
2002,2.64,1.8
2003,2.96,2.16
2004,3.69,2.65
