YYYYMM,FPCPITOTLZGUSA

1978index,65.0
1979index,66.0
1980index,67.0
1981index,68.0
1982index,69.0
1983index,70.0
1984index,71.0
1985index,72.0
1986index,73.0
1987index,74.0
1988index,75.0
1989index,76.0
1990index,77.0
1991index,78.0
1992index,79.0
1993index,80.0
1994index,81.0
1995index,82.0
1996index,83.0
1997index,84.0
1998index,85.0
1999index,86.0
2000index,87.0
2001index,88.0
2002index,89.0
2003index,90.0
2004index,91.0
2005index,92.0
2006index,93.0
2007index,94.0
2008index,95.0
2009index,96.0
2010index,97.0
2011index,98.0
2012index,99.0
2013index,100.0
2014index,101.0
2015index,102.0
2016index,103.0
2017index,104.0
2018index,105.0
2019index,106.0
2020index,107.0
2021index,108.0
2022index,109.0
2023index,110.0
1913Jan,9.8
1914Jan,10.0
1915Jan,10.1
1916Jan,10.4
1917Jan,11.7
1918Jan,14.0
1919Jan,16.5
1920Jan,19.3
1921Jan,19.0
1922Jan,16.9
1923Jan,16.8
1924Jan,17.3
1925Jan,17.3
1926Jan,17.9
1927Jan,17.5
1928Jan,17.3
1929Jan,17.1
1930Jan,17.1
1931Jan,15.9
1932Jan,14.3
1933Jan,12.9
1934Jan,13.2
1935Jan,13.6
1936Jan,13.8
1937Jan,14.1
1938Jan,14.2
1939Jan,14.0
1940Jan,13.9
1941Jan,14.1
1942Jan,15.7
1943Jan,16.9
1944Jan,17.4
1945Jan,17.8
1946Jan,18.2
1947Jan,21.5
1948Jan,23.7
1949Jan,24.0
1950Jan,23.5
1951Jan,25.4
1952Jan,26.5
1953Jan,26.6
1954Jan,26.9
1955Jan,26.7
1956Jan,26.8
1957Jan,27.6
1958Jan,28.6
1959Jan,29.0
1960Jan,29.3
1961Jan,29.8
1962Jan,30.0
1963Jan,30.4
1964Jan,30.9
1965Jan,31.2
1966Jan,31.8
1967Jan,32.9
1968Jan,34.1
1969Jan,35.6
1970Jan,37.8
1971Jan,39.8
1972Jan,41.1
1973Jan,42.6
1974Jan,46.6
1975Jan,52.1
1976Jan,55.6
1977Jan,58.5
1978Jan,62.5
1979Jan,68.3
1980Jan,77.8
1981Jan,87.0
1982Jan,94.3
1983Jan,97.8
1984Jan,101.9
1985Jan,105.5
1986Jan,109.6
1987Jan,111.2
1988Jan,115.7
1989Jan,121.1
1990Jan,127.4
1991Jan,134.6
1992Jan,138.1
1993Jan,142.6
1994Jan,146.2
1995Jan,150.3
1996Jan,154.4
1997Jan,159.1
1998Jan,161.6
1999Jan,164.3
2000Jan,168.8
2001Jan,175.1
2002Jan,177.1
2003Jan,181.7
2004Jan,185.2
2005Jan,190.7
2006Jan,198.3
2007Jan,202.416
2008Jan,211.08
2009Jan,211.143
2010Jan,216.687
2011Jan,220.223
2012Jan,226.665
2013Jan,230.28
2014Jan,233.916
2015Jan,233.707
2016Jan,236.916
2017Jan,242.839
2018Jan,247.867
2019Jan,251.712
2020Jan,257.971
2021Jan,261.582
2022Jan,281.148
2023Jan,299.17
1913Feb,9.8
1914Feb,9.9
1915Feb,10.0
1916Feb,10.4
1917Feb,12.0
1918Feb,14.1
1919Feb,16.2
1920Feb,19.5
1921Feb,18.4
1922Feb,16.9
1923Feb,16.8
1924Feb,17.2
1925Feb,17.2
1926Feb,17.9
1927Feb,17.4
1928Feb,17.1
1929Feb,17.1
1930Feb,17.0
1931Feb,15.7
1932Feb,14.1
1933Feb,12.7
1934Feb,13.3
1935Feb,13.7
1936Feb,13.8
1937Feb,14.1
1938Feb,14.1
1939Feb,13.9
1940Feb,14.0
1941Feb,14.1
1942Feb,15.8
1943Feb,16.9
1944Feb,17.4
1945Feb,17.8
1946Feb,18.1
1947Feb,21.5
1948Feb,23.5
1949Feb,23.8
1950Feb,23.5
1951Feb,25.7
1952Feb,26.3
1953Feb,26.5
1954Feb,26.9
1955Feb,26.7
1956Feb,26.8
1957Feb,27.7
1958Feb,28.6
1959Feb,28.9
1960Feb,29.4
1961Feb,29.8
1962Feb,30.1
1963Feb,30.4
1964Feb,30.9
1965Feb,31.2
1966Feb,32.0
1967Feb,32.9
1968Feb,34.2
1969Feb,35.8
1970Feb,38.0
1971Feb,39.9
1972Feb,41.3
1973Feb,42.9
1974Feb,47.2
1975Feb,52.5
1976Feb,55.8
1977Feb,59.1
1978Feb,62.9
1979Feb,69.1
1980Feb,78.9
1981Feb,87.9
1982Feb,94.6
1983Feb,97.9
1984Feb,102.4
1985Feb,106.0
1986Feb,109.3
1987Feb,111.6
1988Feb,116.0
1989Feb,121.6
1990Feb,128.0
1991Feb,134.8
1992Feb,138.6
1993Feb,143.1
1994Feb,146.7
1995Feb,150.9
1996Feb,154.9
1997Feb,159.6
1998Feb,161.9
1999Feb,164.5
2000Feb,169.8
2001Feb,175.8
2002Feb,177.8
2003Feb,183.1
2004Feb,186.2
2005Feb,191.8
2006Feb,198.7
2007Feb,203.499
2008Feb,211.693
2009Feb,212.193
2010Feb,216.741
2011Feb,221.309
2012Feb,227.663
2013Feb,232.166
2014Feb,234.781
2015Feb,234.722
2016Feb,237.111
2017Feb,243.603
2018Feb,248.991
2019Feb,252.776
2020Feb,258.678
2021Feb,263.014
2022Feb,283.716
2023Feb,300.84
1913Mar,9.8
1914Mar,9.9
1915Mar,9.9
1916Mar,10.5
1917Mar,12.0
1918Mar,14.0
1919Mar,16.4
1920Mar,19.7
1921Mar,18.3
1922Mar,16.7
1923Mar,16.8
1924Mar,17.1
1925Mar,17.3
1926Mar,17.8
1927Mar,17.3
1928Mar,17.1
1929Mar,17.0
1930Mar,16.9
1931Mar,15.6
1932Mar,14.0
1933Mar,12.6
1934Mar,13.3
1935Mar,13.7
1936Mar,13.7
1937Mar,14.2
1938Mar,14.1
1939Mar,13.9
1940Mar,14.0
1941Mar,14.2
1942Mar,16.0
1943Mar,17.2
