start_end_date,const_std_error,x1_std_error,x2_std_error,const_peak,x1_peak,x2_peak
197801-199712,0.13,0.03,0.05,0,0,0
197802-199801,0.13,0.03,0.05,0,0,0
197803-199802,0.13,0.03,0.05,0,0,0
197804-199803,0.13,0.03,0.05,0,0,0
197805-199804,0.13,0.03,0.05,0,0,0
197806-199805,0.13,0.03,0.05,0,0,0
197807-199806,0.13,0.03,0.05,0,0,0
197808-199807,0.13,0.03,0.05,0,0,0
197809-199808,0.13,0.03,0.05,0,0,0
197810-199809,0.13,0.03,0.05,0,0,0
197811-199810,0.13,0.03,0.05,0,0,0
197812-199811,0.13,0.03,0.05,0,0,0
197901-199812,0.13,0.03,0.05,0,0,0
197902-199901,0.12,0.03,0.05,0,0,0
197903-199902,0.13,0.03,0.05,0,0,0
197904-199903,0.13,0.03,0.05,0,0,0
197905-199904,0.12,0.03,0.05,0,0,0
197906-199905,0.13,0.03,0.05,0,0,0
197907-199906,0.13,0.03,0.05,0,0,0
197908-199907,0.14,0.03,0.05,0,0,0
197909-199908,0.14,0.03,0.06,0,0,0
197910-199909,0.14,0.03,0.06,0,0,0
197911-199910,0.14,0.03,0.05,0,0,0
197912-199911,0.14,0.03,0.06,0,0,0
198001-199912,0.14,0.03,0.05,0,0,0
198002-200001,0.15,0.03,0.06,0,0,0
198003-200002,0.14,0.03,0.05,0,0,0
198004-200003,0.15,0.03,0.06,0,0,0
198005-200004,0.15,0.03,0.06,0,0,0
198006-200005,0.15,0.03,0.06,0,0,0
198007-200006,0.15,0.03,0.06,0,0,0
198008-200007,0.15,0.03,0.06,0,0,0
198009-200008,0.15,0.03,0.06,0,0,0
198010-200009,0.14,0.03,0.05,0,0,0
198011-200010,0.15,0.03,0.05,0,0,0
198012-200011,0.14,0.03,0.05,0,0,0
198101-200012,0.15,0.03,0.05,0,0,0
198102-200101,0.15,0.03,0.05,0,0,0
198103-200102,0.15,0.03,0.05,0,0,0
198104-200103,0.14,0.03,0.05,0,0,0
198105-200104,0.14,0.03,0.05,0,0,0
198106-200105,0.15,0.03,0.05,0,0,0
198107-200106,0.15,0.03,0.05,0,0,0
198108-200107,0.15,0.03,0.05,0,0,0
198109-200108,0.15,0.03,0.05,0,0,0
198110-200109,0.15,0.03,0.05,0,0,0
198111-200110,0.15,0.03,0.05,0,0,0
198112-200111,0.14,0.03,0.05,0,0,0
198201-200112,0.14,0.03,0.05,0,0,0
198202-200201,0.14,0.03,0.05,0,0,0
198203-200202,0.14,0.04,0.05,0,0,0
198204-200203,0.14,0.04,0.05,0,0,0
198205-200204,0.14,0.04,0.05,0,0,0
198206-200205,0.14,0.04,0.05,0,0,0
198207-200206,0.14,0.04,0.05,0,0,0
198208-200207,0.14,0.04,0.05,0,0,0
198209-200208,0.14,0.04,0.05,0,0,0
198210-200209,0.14,0.04,0.05,0,0,0
198211-200210,0.14,0.04,0.05,0,0,0
198212-200211,0.14,0.04,0.05,0,0,0
198301-200212,0.13,0.04,0.05,0,0,0
198302-200301,0.13,0.04,0.05,0,0,0
198303-200302,0.13,0.04,0.05,0,0,0
198304-200303,0.13,0.04,0.05,0,0,0
198305-200304,0.13,0.04,0.05,0,0,0
198306-200305,0.13,0.04,0.05,0,0,0
198307-200306,0.13,0.04,0.05,0,0,0
198308-200307,0.13,0.04,0.05,0,0,0
198309-200308,0.13,0.04,0.05,0,0,0
198310-200309,0.13,0.04,0.05,0,0,0
198311-200310,0.13,0.04,0.05,0,0,0
198312-200311,0.13,0.04,0.05,0,0,0
198401-200312,0.13,0.04,0.05,0,0,0
