date,x2
197801,6.03
197802,7.82
197803,7.04
197804,7.2
197805,8.0
197806,8.2
197807,7.45
197808,8.74
197809,7.64
197810,7.43
197811,8.12
197812,8.24
197901,8.91
197902,10.03
197903,9.85
197904,10.09
197905,11.66
197906,11.78
197907,11.47
197908,10.78
197909,10.01
197910,8.85
197911,11.32
197912,10.59
198001,12.66
198002,10.47
198003,12.01
198004,10.56
198005,8.22
198006,8.58
198007,8.24
198008,8.08
198009,8.4
198010,9.45
198011,8.11
198012,9.92
198101,8.12
198102,8.47
198103,6.69
198104,8.14
198105,7.49
198106,6.69
198107,6.23
198108,6.58
198109,7.11
198110,7.07
198111,7.1
198112,5.59
198201,5.43
198202,5.35
198203,5.55
198204,5.0
198205,4.7
198206,5.74
198207,5.86
198208,6.02
198209,5.09
198210,5.46
198211,4.89
198212,5.13
198301,4.81
198302,4.26
198303,2.81
198304,4.15
198305,4.44
198306,4.27
198307,4.42
198308,4.83
198309,4.79
198310,5.44
198311,5.04
198312,4.79
198401,4.41
198402,4.95
198403,4.64
198404,5.7
198405,5.29
198406,4.59
198407,4.41
198408,4.49
198409,4.0
198410,5.02
198411,4.87
198412,4.66
198501,4.05
198502,4.34
198503,4.13
198504,4.87
198505,4.3
198506,4.62
198507,3.7
198508,3.46
198509,4.03
198510,4.65
198511,4.34
198512,5.17
198601,4.01
198602,3.44
198603,2.67
198604,3.04
198605,3.35
198606,3.72
198607,3.35
198608,3.97
198609,3.29
198610,3.6
198611,3.73
198612,4.0
198701,3.89
198702,4.11
198703,3.73
198704,3.57
198705,4.36
198706,4.13
198707,3.93
198708,4.35
198709,4.2
198710,4.13
198711,3.92
198712,3.5
198801,4.11
198802,4.51
198803,4.11
198804,4.23
198805,4.7
198806,5.03
198807,5.38
198808,5.38
198809,5.36
198810,5.07
198811,5.3
198812,4.95
198901,4.9
198902,4.61
198903,5.08
198904,4.93
198905,5.7
198906,4.91
198907,4.79
198908,4.33
198909,4.56
198910,4.51
198911,4.76
198912,4.27
199001,4.92
199002,4.92
199003,4.67
199004,4.42
199005,4.37
199006,4.59
199007,4.49
199008,5.62
199009,5.69
199010,5.91
199011,5.3
199012,4.71
199101,4.64
199102,4.15
199103,4.07
199104,4.25
199105,4.33
199106,4.06
199107,3.69
199108,3.83
199109,3.46
199110,4.08
199111,3.88
199112,3.17
199201,2.79
199202,3.0
199203,2.83
199204,3.35
199205,2.74
199206,3.64
199207,3.62
199208,3.71
199209,3.58
199210,3.36
199211,3.85
199212,2.99
199301,3.17
199302,4.17
199303,4.87
199304,3.6
199305,4.09
199306,4.6
199307,3.97
199308,4.42
199309,4.25
199310,3.75
199311,3.47
199312,3.34
199401,3.27
199402,3.48
199403,4.07
199404,4.26
